cache_key,status,title,author,isbn,matched_title,matched_author,confidence,source
der kleine drache und der monsterhund|meyer dietrich inge,checked,Der kleine Drache und der Monsterhund,Meyer-Dietrich Inge,,,,,not_found
verruckt nach emma|maja von vogel,checked,Verrückt nach Emma,"Vogel, Maja von",,,,,not_found
robinson crusoe|daniel defoe,checked,Robinson Crusoe,"Defoe, Daniel",,,,,not_found
funf freunde und der hexenring band 053|enid blyton,checked,Fünf Freunde - und der Hexenring - Band 053,"Blyton, Enid",,,,,not_found
funf freunde auf hoher see band 054|enid blyton,checked,Fünf Freunde - auf hoher See - Band 054,"Blyton, Enid",,,,,not_found
viel larm um lila die fabelhaften vier|martina dierks,checked,"Viel Lärm um Lila, die fabelhaften Vier","Dierks, Martina",,,,,not_found
vergebung band 3|stieg larsson,checked,Vergebung Band 3,"Larsson, Stieg",,,,,not_found
die tore der welt|ken follett,checked,Die Tore der Welt,"Follett, Ken",,,,,not_found
verdammnis band 2|stieg larsson,checked,"Verdammnis, Band 2","Larsson, Stieg",,,,,not_found
verblendung band 1|stieg larsson,checked,"Verblendung, Band 1","Larsson, Stieg",,,,,not_found
das magische baumhaus band 014 im land der|mary pope osborne,checked,Das magische Baumhaus - Band 014 - Im Land der,"Osborne, Mary Pope",,,,,not_found
blatterteig und volkerball|tony ettlin,checked,Blätterteig und Völkerball,"Ettlin, Tony",,,,,not_found
seelen|stephenie meyer,checked,Seelen,"Meyer, Stephenie",,,,,not_found
der katalane|noah gordon,checked,Der Katalane,"Gordon, Noah",,,,,not_found
das magische baumhaus band 009 der ruf der|mary pope osborne,checked,Das magische Baumhaus - Band 009 - Der Ruf der,"Osborne, Mary Pope",,,,,not_found
das magische baumhaus band 032 der gestohlene|mary pope osborne,checked,Das magische Baumhaus - Band 032 - Der gestohlene,"Osborne, Mary Pope",,,,,not_found
der kleine konig feiert weihnachten|hedwig munck,checked,Der kleine König feiert Weihnachten,"Munck, Hedwig",,,,,not_found
die drei kids band 016 der magische brunnen|ulf blanck,checked,Die drei ??? Kids - Band 016 - Der magische Brunnen,"Blanck, Ulf",,,,,not_found
das grosse buch vom rauber grapsch|gudrun pausewang,found,Das grosse Buch vom Räuber Grapsch,"Pausewang, Gudrun",9783473346707,Das grosse Buch vom Räuber Grapsch Gudrun Pausewang,"Pausewang, Gudrun",0.8500,dnb
das magische baumhaus band 035 angriff des|mary pope osborne,checked,Das magische Baumhaus - Band 035 - Angriff des,"Osborne, Mary Pope",,,,,not_found
das magische baumhaus band 002 der|mary pope osborne,checked,Das magische Baumhaus - Band 002 - Der,"Osborne, Mary Pope",,,,,not_found
gepardensommer|katja brandis,checked,Gepardensommer,"Brandis, Katja",,,,,not_found
die kaminski kids band 002 mega zoff|carlo meier,found,Die Kaminski-Kids - Band 002 - Mega Zoff!,"Meier, Carlo",9783765538223,Die Kaminski-Kids Bd. 2. Mega Zoff! Carlo Meier,"Meier, Carlo",0.8500,dnb
das fliegende klassenzimmer|erich kastner,found,Das fliegende Klassenzimmer,"Kästner, Erich",9783855351480,Das fliegende Klassenzimmer Erich Kästner,"Kästner, Erich",0.8456,dnb
emma will s wissen|maja von vogel,checked,Emma will`s wissen,"Vogel, Maja von",,,,,not_found
neues vom rauber hotzenplotz|otfried preussler,checked,Neues vom Räuber Hotzenplotz,"Preussler, Otfried",,,,,not_found
funf freunde band 052 im gruselschloss|enid blyton,checked,Fünf Freunde - Band 052 - im Gruselschloss,"Blyton, Enid",,,,,not_found
die chemie des todes|simon beckett,checked,Die Chemie des Todes,"Beckett, Simon",,,,,not_found
funf freunde band 059 jagen den ratselhaften|enid blyton,checked,Fünf Freunde - Band 059 - jagen den rätselhaften,"Blyton, Enid",,,,,not_found
magic girls gefangen in der unterwelt|marliese arold,checked,Magic Girls - Gefangen in der Unterwelt,"Arold, Marliese",,,,,not_found
spielmacher sport krimi|andreas schluter,checked,Spielmacher - Sport-Krimi,"Schlüter, Andreas",,,,,not_found
abgetaucht sport krimi|andreas schluter,checked,Abgetaucht - Sport-Krimi,"Schlüter, Andreas",,,,,not_found
die kaminski kids band 007 entscheidung im park|carlo meier,found,Die Kaminski-Kids - Band 007 - Entscheidung im Park,"Meier, Carlo",9783765538285,Die Kaminski-Kids Bd. 8. Entscheidung im Park Carlo Meier,"Meier, Carlo",0.8676,dnb
ein fall fur kommissar maroni|jurg obrist,checked,Ein Fall für Kommissar Maroni,"Obrist, Jürg",,,,,not_found
die drei band 149 der namenlose gegner|kari erlhoff,checked,Die drei ??? - Band 149 - Der namenlose Gegner,"Erlhoff, Kari",,,,,not_found
madita|astrid lindgren,checked,Madita,"Lindgren, Astrid",,,,,not_found
die tribute von panem band 01 todliche spiele|suzanne collins,checked,Die Tribute von Panem - Band 01 - Tödliche Spiele,"Collins, Suzanne",,,,,not_found
der elefantentempel|katja brandis,checked,Der Elefantentempel,"Brandis, Katja",,,,,not_found
die drei band 153 und das fussballphantom|marco sonnleitner,checked,Die drei ??? - Band 153 - Und das Fussballphantom,"Sonnleitner, Marco",,,,,not_found
magic girls die grosse prufung|marliese arold,checked,Magic Girls - Die grosse Prüfung,"Arold, Marliese",,,,,not_found
als opa alles auf den kopf stellte|marianne musgrove,checked,Als Opa alles auf den Kopf stellte,"Musgrove, Marianne",,,,,not_found
eragon band 003 die weisheit des feuers|christopher paolini,checked,ERAGON - Band 003 - Die Weisheit des Feuers,"Paolini, Christopher",,,,,not_found
ferien im schrank|annette roeder,checked,Ferien im Schrank,"Roeder, Annette",,,,,not_found
emilys ruckkehr|katja kessler,checked,Emilys Rückkehr,"Kessler, Katja",,,,,not_found
aufregung um knuffel|berit bach,checked,Aufregung um Knuffel,"Bach, Berit",,,,,not_found
die drei kids band 008 angriff der roboter|boris pfeiffer,checked,Die drei ??? Kids - Band 008 - Angriff der Roboter,"Pfeiffer, Boris",,,,,not_found
die drei kids band 043 duell der ritter|ulf blanck,checked,Die drei ??? Kids - Band 043 - Duell der Ritter,"Blanck, Ulf",,,,,not_found
die drei band 154 botschaft aus der unterwelt|kari erlhoff,checked,Die drei ??? - Band 154 - Botschaft aus der Unterwelt,"Erlhoff, Kari",,,,,not_found
die drei band 155 und der meister des todes|kari erlhoff,checked,Die drei ??? - Band 155 - und der Meister des Todes,"Erlhoff, Kari",,,,,not_found
endlich beruhmt wie greg zum filmstar wurde|jeff kinney,checked,Endlich berühmt ! Wie Greg zum Filmstar wurde,"Kinney, Jeff",,,,,not_found
die kaminski kids band 012 das geheimnis von|carlo meier,checked,Die Kaminski-Kids - Band 012 - Das Geheimnis von,"Meier, Carlo",,,,,not_found
stromschnelle sport krimi|andreas schluter,checked,Stromschnelle - Sport - Krimi,"Schlüter, Andreas",,,,,not_found
drachenschwester thubans vermachtnis|licia troisi,found,Drachenschwester - Thubans Vermächtnis,"Troisi, Licia",9783641049324,Drachenschwester - Thubans Vermächtnis Licia Troisi,"Troisi, Licia",0.8853,dnb
die ratsel der alhambra|markus spang,checked,Die Rätsel der Alhambra,"Spang, Markus",,,,,not_found
jim knopf und die wilde 13|michael ende,found,Jim Knopf und die wilde 13,"Ende, Michael",9783522185561,Jim Knopf und die Wilde 13 Michael Ende,"Ende, Michael",0.8500,dnb
herr rot in not|salah naoura,checked,Herr Rot in Not,"Naoura, Salah",,,,,not_found
leichenblasse|simon beckett,checked,Leichenblässe,"Beckett, Simon",,,,,not_found
funf freunde band 055 und das|enid blyton,checked,Fünf Freunde - Band 055 - und das,"Blyton, Enid",,,,,not_found
die drei band 029 panik im freizeitpark|mira sol,checked,Die drei !!! - Band 029 - Panik im Freizeitpark,"Sol, Mira",,,,,not_found
koalatraume|katja brandis,checked,Koalaträume,"Brandis, Katja",,,,,not_found
die drei nacht der tiger band 159|marco sonnleitner,checked,Die drei ??? - Nacht der Tiger - Band 159,"Sonnleitner, Marco",,,,,not_found
alles luge|anatol feid,checked,Alles Lüge,"Feid, Anatol",,,,,not_found
vier zauberhafte schwestern|sheridan winn,found,Vier zauberhafte Schwestern,"Winn, Sheridan",9783733607418,Vier zauberhafte Schwestern Sheridan Winn,"Winn, Sheridan",0.8456,dnb
funf freunde band 061 suchen den piratenschatz|enid blyton,checked,Fünf Freunde - Band 061 - suchen den Piratenschatz,"Blyton, Enid",,,,,not_found
die drei band 158 und der feuergeist|marco sonnleitner,checked,Die drei ??? - Band 158 - und der Feuergeist,"Sonnleitner, Marco",,,,,not_found
die drei kids band 002 004 in seenot|ulf blanck,checked,Die drei ??? Kids - Band 002 + 004 - In Seenot,"Blanck, Ulf",,,,,not_found
die drei kids band 010 die verhexte achterbahn|ulf blanck,checked,Die drei ??? Kids - Band 010 - Die verhexte Achterbahn,"Blanck, Ulf",,,,,not_found
die drei kids band 046 jagd auf das dino ei|ulf blanck,checked,Die drei ??? Kids - Band 046 - Jagd auf das Dino-Ei,"Blanck, Ulf",,,,,not_found
die drei kids band 009 der geisterfluss|ulf blanck,checked,Die drei ??? Kids - Band 009 - Der Geisterfluss,"Blanck, Ulf",,,,,not_found
3 drachengeschichten|patricia schroder,checked,3 Drachengeschichten,"Schröder, Patricia",,,,,not_found
sophie im land der zauberponys|patricia schroder,checked,Sophie im Land der Zauberponys,"Schröder, Patricia",,,,,not_found
maskottchen|mark kurzem,checked,Maskottchen,"Kurzem, Mark",,,,,not_found
verwesung|simon beckett,checked,Verwesung,"Beckett, Simon",,,,,not_found
todlicher mittsommer band 1|viveca sten,checked,Tödlicher Mittsommer - Band 1,"Sten, Viveca",,,,,not_found
die schatzinsel|stevensen louis robert,checked,Die Schatzinsel,Stevensen Louis Robert,,,,,not_found
nele band 003 und die geburtstagsparty|usch luhn,checked,Nele - Band 003 - und die Geburtstagsparty,"Luhn, Usch",,,,,not_found
das magische baumhaus band 033 geheimauftrag|mary pope osborne,checked,Das magische Baumhaus - Band 033 - Geheimauftrag,"Osborne, Mary Pope",,,,,not_found
das magische baumhaus band 036 der geheime flug|mary pope osborne,checked,Das magische Baumhaus - Band 036 - Der geheime Flug,"Osborne, Mary Pope",,,,,not_found
das magische baumhaus band 030 im bann des|mary pope osborne,checked,Das magische Baumhaus - Band 030 - Im Bann des,"Osborne, Mary Pope",,,,,not_found
nils holgersson|selma lagerlof,checked,Nils Holgersson,"Lagerlöf, Selma",,,,,not_found
die drei kids band 048 tanz der skelette|boris pfeiffer,checked,Die drei ??? Kids - Band 048 - Tanz der Skelette,"Pfeiffer, Boris",,,,,not_found
die drei kids band 049 der singende geist|ulf blanck,checked,Die drei ??? Kids - Band 049 - Der singende Geist,"Blanck, Ulf",,,,,not_found
das magische baumhaus band 018 rettung in der|mary pope osborne,checked,Das magische Baumhaus - Band 018 - Rettung in der,"Osborne, Mary Pope",,,,,not_found
glee wie alles begann|lowell,checked,Glee wie alles begann,Lowell,,,,,not_found
glee buhne frei|lowell,checked,glee Bühne frei!,Lowell,,,,,not_found
die tribute von panem band 03 flammender zorn|suzanne collins,checked,Die Tribute von Panem - Band 03 - flammender Zorn,"Collins, Suzanne",,,,,not_found
die fabelhaften vier alles wegen anton|martina dierks,found,"Die fabelhaften Vier, Alles wegen Anton","Dierks, Martina",9783862742011,Die fabelhaften Vier. Alles wegen Anton Martina Dierks,"Dierks, Martina",0.8764,dnb
das buch der seltsamen wunsche|angie westhoff,found,Das Buch der seltsamen Wünsche,"Westhoff, Angie",9783751206136,Das Buch der seltsamen Wünsche Angie Westhoff,"Westhoff, Angie",0.8500,dnb
die drei band 031 betrug in den charts|petra steckelmann,checked,Die drei !!! - Band 031- Betrug in den Charts,"Steckelmann, Petra",,,,,not_found
die drei und der schreiende nebel band 162|hendrik buchna,checked,Die drei ??? - und der schreiende Nebel - Band 162,"Buchna, Hendrik",,,,,not_found
die drei band 196 geheimnisvolle botschaften|christoph dittert,checked,Die drei ??? - Band 196 - Geheimnisvolle Botschaften,"Dittert, Christoph",,,,,not_found
lola schwesterherz|isabel abedi,checked,Lola Schwesterherz,"Abedi, Isabel",,,,,not_found
no jungs wer wird schonheitskonigin|thomas brezina,checked,No Jungs ! Wer wird Schönheitskönigin',"Brezina, Thomas",,,,,not_found
magic girls die macht der acht|marliese arold,found,"Magic Girls, die Macht der Acht","Arold, Marliese",9783760766805,Magic girls 8. Die Macht der Acht Marliese Arold,"Arold, Marliese",0.8344,dnb
wolfenblut|di toft,checked,Wolfenblut,"Toft, Di",,,,,not_found
die drei band 161 die blutenden bilder|kari erlhoff,checked,Die drei ??? - Band 161 - Die blutenden Bilder,"Erlhoff, Kari",,,,,not_found
momo|michael ende,checked,MOMO,"Ende, Michael",,,,,not_found
eragon band 004 das erbe der macht|christopher paolini,checked,ERAGON - Band 004 - Das Erbe der Macht,"Paolini, Christopher",,,,,not_found
anton und das geheimnis im finsterwald|patricia schroder,checked,Anton und das geheimnis im Finsterwald,"Schröder, Patricia",,,,,not_found
hexe lilli band 013 und der verruckte ritter|knister,checked,Hexe Lilli - Band 013 - und der verrückte Ritter,Knister,,,,,not_found
