cache_key,status,title,author,isbn,matched_title,matched_author,confidence,source
rubinrot liebe geht durch alle zeiten band 1|kerstin gier,checked,"Rubinrot, Liebe geht durch alle Zeiten, Band 1","Gier, Kerstin",,,,,not_found
tochter der sunde|iny lorentz,checked,Töchter der Sünde,"Lorentz, Iny",,,,,not_found
dolphin rider|markus bennemann,checked,Dolphin Rider,"Bennemann, Markus",,,,,not_found
das alphabet haus|jussi adler olsen,checked,Das Alphabet Haus,"Adler-Olsen, Jussi",,,,,not_found
eine zweite chance|karin alvtegen,checked,Eine zweite Chance,"Alvtegen, Karin",,,,,not_found
tafiti band 001 und die reise ans ende der welt|julia boehme,checked,Tafiti - Band 001 - und die Reise ans Ende der Welt,"Boehme, Julia",,,,,not_found
leo lolli band 002 ein esel zum verlieben|julia boehme,checked,Leo & Lolli - Band 002 - Ein Esel zum Verlieben,"Boehme, Julia",,,,,not_found
nele band 005 geht auf klassenfahrt|usch luhn,checked,Nele - Band 005 - geht auf Klassenfahrt,"Luhn, Usch",,,,,not_found
kleiner hund in grosser gefahr|bengt birck,checked,Kleiner Hund in grosser Gefahr,"Birck, Bengt",,,,,not_found
mein freund der orca|annette moser,checked,"Mein Freund, der Orca","Moser, Annette",,,,,not_found
nele band 006 und der indische prinz|usch luhn,checked,Nele - Band 006 - und der indische Prinz,"Luhn, Usch",,,,,not_found
das magische baumhaus band 045 die feder der|mary pope osborne,checked,Das magische Baumhaus - Band 045 - Die Feder der,"Osborne, Mary Pope",,,,,not_found
storenfrieda und der ruckwartsflohmarkt|jana frey,checked,Störenfrieda und der Rückwärtsflohmarkt,"Frey, Jana",,,,,not_found
storenfrieda auf hangebauchschweinsafari|jana frey,checked,Störenfrieda auf Hängebauchschweinsafari,"Frey, Jana",,,,,not_found
storenfrieda und der glitzerclub|jana frey,checked,Störenfrieda und der Glitzerclub,"Frey, Jana",,,,,not_found
das magische baumhaus band 012 auf den spuren|mary pope osborne,checked,Das magische Baumhaus - Band 012 - Auf den Spuren,"Osborne, Mary Pope",,,,,not_found
zombie alarm|ben nevis,checked,Zombie-Alarm,"Nevis, Ben",,,,,not_found
der schwarze joker|boris pfeiffer,checked,Der schwarze Joker,"Pfeiffer, Boris",,,,,not_found
der kleine drache kokosnuss band 019 reist in die|ingo siegner,checked,Der kleine Drache Kokosnuss - Band 019 - reist in die,"Siegner, Ingo",,,,,not_found
michel und klein ida aus lonneberga|astrid lindgren,checked,Michel und Klein-Ida aus Lönneberga,"Lindgren, Astrid",,,,,not_found
das magische baumhaus sammelband im reich der|mary pope osborne,checked,Das magische Baumhaus - Sammelband - Im Reich der,"Osborne, Mary Pope",,,,,not_found
night school band 002 der den zweifel sat|c j daugherty,checked,Night School - Band 002 - der den Zweifel sät,"Daugherty, C.J",,,,,not_found
magic girls der goldene schlussel|marliese arold,found,"Magic Girls, Der goldene Schlüssel","Arold, Marliese",9783760784663,Magic girls 10. Der goldene Schlüssel Marliese Arold,"Arold, Marliese",0.8393,dnb
tschick|wolfgang herrndorf,checked,Tschick,"Herrndorf, Wolfgang",,,,,not_found
die drei band 171 und das phantom aus dem|marco sonnleitner,checked,Die drei ??? - Band 171- Und das Phantom aus dem,"Sonnleitner, Marco",,,,,not_found
die drei strasse des grauens band 170|kari erlhoff,checked,Die drei ??? - Strasse des Grauens - Band 170,"Erlhoff, Kari",,,,,not_found
die drei band 169 die spur des spielers|andre marx,checked,Die drei ??? - Band 169 - Die Spur des Spielers,"Marx, André",,,,,not_found
undercover city der unsichtbare im wald|gabi neumayer,found,"Undercover City, Der Unsichtbare im Wald","Neumayer, Gabi",9783407745705,Undercover City Der Unsichtbare im Wald Gabi Neumayer,"Neumayer, Gabi",0.8859,dnb
tiger team band 038 die stunde des hexenmeisters|thomas brezina,checked,Tiger-Team - Band 038 - Die Stunde des Hexenmeisters,"Brezina, Thomas",,,,,not_found
tiger team band 048 der ruf der goldeule|thomas brezina,checked,Tiger-Team - Band 048 - Der Ruf der Goldeule,"Brezina, Thomas",,,,,not_found
bretonische verhaltnisse|jean luc bannalec,checked,Bretonische Verhältnisse,"Bannalec, Jean-Luc",,,,,not_found
tafiti band 002 und das fliegende pinselohrschwein|julia boehme,checked,Tafiti - Band 002 - und das fliegende Pinselohrschwein,"Boehme, Julia",,,,,not_found
ein fall fur kwiatkowski band 022 grosse jagd auf|jurgen banscherus,checked,Ein Fall für Kwiatkowski - Band 022 - Grosse Jagd auf,"Banscherus, Jürgen",,,,,not_found
das buch aus atlantis|thomas brezina,checked,das Buch aus Atlantis,"Brezina, Thomas",,,,,not_found
verschworung am hollenstein|thomas brezina,checked,Verschwörung am Höllenstein,"Brezina, Thomas",,,,,not_found
tiger team das verbotene labor|thomas brezina,checked,Tiger-Team - das verbotene LABOR,"Brezina, Thomas",,,,,not_found
das magische baumhaus band 046 pandas in grosser|mary pope osborne,checked,Das magische Baumhaus - Band 046 - Pandas in grosser,"Osborne, Mary Pope",,,,,not_found
feuerwehrgeschichten|fischer hunold alexandra,checked,FEUERWEHRGESCHICHTEN,Fischer-Hunold Alexandra,,,,,not_found
ein fall fur kwiatkowski band 008 duell der detektive|jurgen banscherus,found,Ein Fall für Kwiatkowski - Band 008 - Duell der Detektive,"Banscherus, Jürgen",9783731397168,Ein Fall für Kwiatkowski. Duell der Detektive Jürgen Banscherus,"Banscherus, Jürgen",0.8239,dnb
liliane susewind band 007 ruckt dem wolf nicht auf|tanya stewner,checked,Liliane Susewind - Band 007 - Rückt dem Wolf nicht auf,"Stewner, Tanya",,,,,not_found
sternenschweif band 015 das geheimnis der|linda chapman,checked,Sternenschweif - Band 015 - Das Geheimnis der,"Chapman, Linda",,,,,not_found
sternenschweif band 027 die zauberquelle|linda chapman,checked,Sternenschweif - Band 027 - Die Zauberquelle,"Chapman, Linda",,,,,not_found
sternenschweif band 012 mondscheinzauber|linda chapman,found,Sternenschweif - Band 012 - Mondscheinzauber,"Chapman, Linda",9783440108086,Sternenschweif 12. Mondscheinzauber Linda Chapman,"Chapman, Linda",0.8295,dnb
sternenschweif band 005 sternenschweifs geheimnis|linda chapman,found,Sternenschweif - Band 005 - Sternenschweifs Geheimnis,"Chapman, Linda",9783440101698,Sternenschweif 5. Sternenschweifs Geheimnis Linda Chapman,"Chapman, Linda",0.8500,dnb
die drei kids das ratsel der konige|ulf blanck,checked,Die drei ??? Kids - Das Rätsel der Könige,"Blanck, Ulf",,,,,not_found
die drei kids der weihnachtsdieb|boris pfeiffer,checked,Die drei ??? Kids - Der Weihnachtsdieb,"Pfeiffer, Boris",,,,,not_found
der kleine drache kokosnuss band 013 und das|ingo siegner,checked,Der kleine Drache Kokosnuss - Band 013 - und das,"Siegner, Ingo",,,,,not_found
delfine|bettina obrecht,checked,Delfine,"Obrecht, Bettina",,,,,not_found
laden der traume band 001 das gold der piraten|dirk ahner,checked,Laden der Träume - Band 001 - Das Gold der Piraten,"Ahner, Dirk",,,,,not_found
tod im scharengarten band 2|viveca sten,checked,Tod im Schärengarten - Band 2,"Sten, Viveca",,,,,not_found
eisiger dienstag|nicci french,checked,Eisiger Dienstag,"French, Nicci",,,,,not_found
die toten von sandhamn band 3|viveca sten,checked,Die Toten von Sandhamn - Band 3,"Sten, Viveca",,,,,not_found
erwartung band 5|jussi adler olsen,checked,Erwartung - Band 5,"Adler-Olsen, Jussi",,,,,not_found
bretonische brandung|jean luc bannalec,checked,Bretonische Brandung,"Bannalec, Jean-Luc",,,,,not_found
vollendet|neal schusterman,checked,Vollendet,"Schusterman, Neal",,,,,not_found
felicity gallant und das steinerne herz|melanie welsh,found,Felicity Gallant und das steinerne Herz,"Welsh, Melanie",9783862729418,Felicity Gallant und das steinerne Herz Melanie Welsh,"Welsh, Melanie",0.8859,dnb
anne frank das tagebuch|anne frank,checked,Anne Frank das Tagebuch,"Frank, Anne",,,,,not_found
escape band 001 fall bloss nicht auf|tim bowler,checked,Escape - Band 001 - Fall bloss nicht auf,"Bowler, Tim",,,,,not_found
escape band 002 flieh so schnell du kannst|tim bowler,checked,"Escape - Band 002 - Flieh, so schnell du kannst","Bowler, Tim",,,,,not_found
escape band 003 lauf so weit du kannst|tim bowler,checked,"Escape - Band 003 - Lauf, so weit du kannst","Bowler, Tim",,,,,not_found
escape band 004 zeig keine angst|tim bowler,checked,Escape - Band 004 - Zeig keine Angst,"Bowler, Tim",,,,,not_found
frostglut|jennifer estep,checked,Frostglut,"Estep, Jennifer",,,,,not_found
night school band 003 denn wahrheit musst du|c j daugherty,checked,Night School - Band 003 - denn Wahrheit musst du,"Daugherty, C.J",,,,,not_found
die drei band 040 achtung spionage|henriette wich,checked,Die drei !!! - Band 040 - Achtung Spionage,"Wich, Henriette",,,,,not_found
ich lilly und der rest der welt|alexandra maxeiner,checked,"Ich, Lilly und der Rest der Welt","Maxeiner, Alexandra",,,,,not_found
die drei band 042 geheimnis der alten villa|maya vogel,checked,Die drei !!! - Band 042 - Geheimnis der alten Villa,"Vogel, Maya",,,,,not_found
piratten die schatzinsel|michael peinkofer,checked,Piratten; Die Schatzinsel,"Peinkofer, Michael",,,,,not_found
die sherlock holmes academy mission meisterdetektiv|holly watson,found,"Die Sherlock Holmes Academy, Mission Meisterdetektiv","Watson, Holly",9783473525478,Die Sherlock-Holmes-Academy [...] Mission Meisterdetektiv Holly Watson,"Watson, Holly",0.9152,dnb
die drei skandal im cafe lomo band 044|henriette wich,checked,Die drei !!! - Skandal im Café Lomo! - Band 044,"Wich, Henriette",,,,,not_found
karlotta verzettelt sich|claire singer,found,Karlotta verzettelt sich,"Singer, Claire",9783760790428,Karlotta verzettelt sich Claire Singer,"Singer, Claire",0.8306,dnb
seekers feuer im himmel|erin hunter,checked,"Seekers, Feuer im Himmel","Hunter, Erin",,,,,not_found
die kaminski kids band 015 im kolner verlies|carlo meier,found,Die Kaminski-Kids - Band 015 - Im Kölner Verlies,"Meier, Carlo",9783765516146,Die Kaminski-Kids Bd. 15. Im Kölner Verlies Carlo Meier,"Meier, Carlo",0.8840,dnb
der kuss der gottin|aprilynne pike,checked,Der Kuss der Göttin,"Pike, Aprilynne",,,,,not_found
lola in geheimer mission|isabel abedi,found,Lola in geheimer Mission,"Abedi, Isabel",9787558302473,"Lola in geheimer Mission, chines.","Abedi, Isabel",0.9045,dnb
traumsammler|khaled hosseini,checked,Traumsammler,"Hosseini, Khaled",,,,,not_found
die olchis werden fussballmeister|erhard dietl,checked,Die Olchis - werden Fussballmeister,"Dietl, Erhard",,,,,not_found
monster mia band 002 und das schaurig schone|a b saddlewick,checked,Monster Mia - Band 002 - und das schaurig-schöne,"Saddlewick, A.B",,,,,not_found
das magische baumhaus band 048 das geheimnis|mary pope osborne,checked,Das magische Baumhaus - Band 048 - Das Geheimnis,"Osborne, Mary Pope",,,,,not_found
sternenritter band 001 die festung im all|michael peinkofer,checked,Sternenritter - Band 001 - Die Festung im All,"Peinkofer, Michael",,,,,not_found
monster mia band 001 und das grosse furchten|a b saddlewick,checked,Monster Mia - Band 001 - und das grosse Fürchten,"Saddlewick, A.B",,,,,not_found
60 sekunden der schrecken der tiefsee band 01|frank reifenberg,checked,60 Sekunden - Der schrecken der Tiefsee - Band 01,"Reifenberg, Frank",,,,,not_found
beast quest band 001 ferno herr des feuers|adam blade,checked,Beast Quest - Band 001 - Ferno Herr des Feuers,"Blade, Adam",,,,,not_found
als der weihnachtsmann vom himmel fiel|cornelia funke,checked,Als der Weihnachtsmann vom Himmel fiel,"Funke, Cornelia",,,,,not_found
die wilden kuken band 07 buhne frei|thomas schmid,checked,Die wilden Küken - Band 07 - Bühne frei!,"Schmid, Thomas",,,,,not_found
die drei band 049 skandal auf dem laufsteg|mira sol,checked,Die drei !!! - Band 049 - Skandal auf dem Laufsteg,"Sol, Mira",,,,,not_found
die drei band 051 krimi dinner|henriette wich,checked,Die drei !!! - Band 051 - Krimi Dinner,"Wich, Henriette",,,,,not_found
die kaminski kids band 016 fahrerflucht|carlo meier,found,Die Kaminski-Kids - Band 016 - Fahrerflucht,"Meier, Carlo",9783038480174,Die Kaminski-Kids Bd. 16. Fahrerflucht Carlo Meier,"Meier, Carlo",0.8707,dnb
die wilden kuken band 004 es spukt|thomas schmid,checked,Die wilden Küken - Band 004 - Es spukt!,"Schmid, Thomas",,,,,not_found
die wilden huhner band 006 und das leben|thomas schmid,checked,Die wilden Hühner - Band 006 - und das Leben,"Schmid, Thomas",,,,,not_found
der hof|simon beckett,checked,Der Hof,"Beckett, Simon",,,,,not_found
beim ersten scharenlicht band 5|viveca sten,checked,Beim ersten Schärenlicht - Band 5,"Sten, Viveca",,,,,not_found
noah|sebastian fitzek,checked,Noah,"Fitzek, Sebastian",,,,,not_found
endlich beliebt band 005|amy ignatow,checked,Endlich beliebt ! - Band 005,"Ignatow, Amy",,,,,not_found
endlich beliebt band 004|amy ignatow,checked,Endlich beliebt! - Band 004,"Ignatow, Amy",,,,,not_found
endlich beliebt band 001|amy ignatow,checked,Endlich beliebt! - Band 001,"Ignatow, Amy",,,,,not_found
dork diaries nikki als graziose eisprinzessin|rachel russell,checked,Dork Diaries - Nikki als graziöse Eisprinzessin,"Russell, Rachel",,,,,not_found
dork diaries band 01 nikkis fabelhafte welt|rachel russell,checked,Dork Diaries - Band 01- Nikkis fabelhafte Welt,"Russell, Rachel",,,,,not_found
dork diaries nikkis glamouroses partyleben|rachel russell,checked,Dork diaries - Nikkis glamouröses Partyleben,"Russell, Rachel",,,,,not_found
dork diaries nikkis guter rat in allen lebenslagen|rachel russell,checked,Dork diaries - Nikkis guter Rat in allen Lebenslagen,"Russell, Rachel",,,,,not_found
dork diaries band 03 mach dich zum dork|rachel russell,checked,Dork diaries - Band 03 - Mach dich zum Dork,"Russell, Rachel",,,,,not_found
mein lotta leben band 05 ich glaub meine krote|alice pantermuller,checked,Mein Lotta-Leben - Band 05 - Ich glaub meine Kröte,"Pantermüller, Alice",,,,,not_found
mein lotta leben band 02 wie belammert ist das|alice pantermuller,checked,Mein Lotta-Leben - Band 02 - Wie belämmert ist das,"Pantermüller, Alice",,,,,not_found
mein lotta leben band 03 hier steckt der wurm drin|alice pantermuller,checked,Mein Lotta-Leben - Band 03 - Hier steckt der Wurm drin!,"Pantermüller, Alice",,,,,not_found
der clan der wolfe band 001 donnerherz|kathryn lasky,checked,Der Clan der Wölfe - Band 001 - Donnerherz,"Lasky, Kathryn",,,,,not_found
der clan der wolfe band 002 schattenkrieger|kathryn lasky,checked,Der Clan der Wölfe - Band 002 - Schattenkrieger,"Lasky, Kathryn",,,,,not_found
tom gates band 001 wo ich bin ist chaos aber ich|liz pichon,checked,"Tom Gates - Band 001 - Wo ich bin ist Chaos, aber ich","Pichon, Liz",,,,,not_found
tom gates band 004 ich bin so was von genial|liz pichon,checked,Tom Gates - Band 004 - Ich bin so was von genial,"Pichon, Liz",,,,,not_found
warrior cats 4 band 1 der vierte schuler|erin hunter,checked,Warrior Cats - 4/Band 1 - Der vierte Schüler,"Hunter, Erin",,,,,not_found
chaos und flambierte herzen|hortense ullrich,checked,Chaos und flambierte Herzen,"Ullrich, Hortense",,,,,not_found
gregs tagebuch band 008 echt ubel|jeff kinney,checked,Gregs Tagebuch - Band 008 - Echt übel,"Kinney, Jeff",,,,,not_found
tafiti band 003 und das riesenbaby|julia boehme,checked,Tafiti - Band 003 - und das Riesenbaby,"Boehme, Julia",,,,,not_found
ponyherz band 001 anni findet ein pony|usch luhn,checked,Ponyherz - Band 001 - Anni findet ein Pony,"Luhn, Usch",,,,,not_found
ponyherz band 002 in gefahr|usch luhn,checked,Ponyherz - Band 002 - in Gefahr,"Luhn, Usch",,,,,not_found
liliane susewind band 009 ein pinguin will hoch hinaus|tanya stewner,found,Liliane Susewind - Band 009 - Ein Pinguin will hoch hinaus,"Stewner, Tanya",9783733607791,Liliane Susewind – Ein Pinguin will hoch hinaus Tanya Stewner,"Stewner, Tanya",0.8473,dnb
ein fall fur kwiatkowski band 006 die afrikanische|jurgen banscherus,checked,Ein Fall für Kwiatkowski - Band 006 - Die afrikanische,"Banscherus, Jürgen",,,,,not_found
ein fall fur kwiatkowski band 017 detektive kusst man|jurgen banscherus,checked,Ein Fall für Kwiatkowski - Band 017 - Detektive küsst man,"Banscherus, Jürgen",,,,,not_found
katzengeschichten|marlene jablonski,checked,KATZENGESCHICHTEN,"Jablonski, Marlene",,,,,not_found
fussballhelden|thomas brezina,checked,Fussballhelden,"Brezina, Thomas",,,,,not_found
die drei kids band 058 spur der drachen|ulf blanck,checked,Die drei ??? Kids - Band 058 - Spur der Drachen,"Blanck, Ulf",,,,,not_found
im tempel des bosen|christian tielmann,checked,Im Tempel des Bösen,"Tielmann, Christian",,,,,not_found
5 sterne fur lola|isabel abedi,checked,5 Sterne für Lola,"Abedi, Isabel",,,,,not_found
die kaminski kids band 005 auf der flucht|carlo meier,found,Die Kaminski-Kids - Band 005 - Auf der Flucht,"Meier, Carlo",9783765538254,Die Kaminski-Kids Bd. 5. Auf der Flucht Carlo Meier,"Meier, Carlo",0.8667,dnb
bibi tina der tiger von rothenbrunn|stephan gurtler,checked,Bibi & Tina - der Tiger von Rothenbrunn,"Gürtler, Stephan",,,,,not_found
finnas pferde|claudia gurtler,checked,Finnas Pferde,"Gürtler, Claudia",,,,,not_found
60 sekunden band 02 das geheimnis der|frank reifenberg,checked,60 Sekunden - Band 02 - Das Geheimnis der,"Reifenberg, Frank",,,,,not_found
die schule der magischen tiere band 004|margit auer,checked,Die Schule der magischen Tiere - Band 004 -,"Auer, Margit",,,,,not_found
trubel auf burg drachenstein|margit auer,checked,Trubel auf Burg Drachenstein,"Auer, Margit",,,,,not_found
die schule der magischen tiere band 001|margit auer,checked,Die Schule der magischen Tiere - Band 001,"Auer, Margit",,,,,not_found
die schule der magischen tiere band 002 voller|margit auer,found,Die Schule der magischen Tiere - Band 002 - Voller,"Auer, Margit",9783551319562,Die Schule der magischen Tiere,"Auer, Margit",0.8421,dnb
bretonisches gold|jean luc bannalec,checked,Bretonisches Gold,"Bannalec, Jean-Luc",,,,,not_found
die list der wanderhure|iny lorentz,found,Die List der Wanderhure,"Lorentz, Iny",9783838774961,Die List der Wanderhure Iny Lorentz,"Lorentz, Iny",0.8448,dnb
morderische scharennachte band 4|viveca sten,checked,Mörderische Schärennächte - Band 4,"Sten, Viveca",,,,,not_found
sternenritter band 002 angriff der robotroxe|michael peinkofer,checked,Sternenritter - Band 002 - Angriff der Robotroxe,"Peinkofer, Michael",,,,,not_found
die olchis auf dem schulfest|erhard dietl,checked,Die Olchis - auf dem Schulfest,"Dietl, Erhard",,,,,not_found
die drei kids band 061 alarm im dino park|boris pfeiffer,checked,Die drei ??? Kids - Band 061 - Alarm im Dino-Park,"Pfeiffer, Boris",,,,,not_found
nanuk ein kleiner eisbar findet freunde|patricia schroder,checked,Nanuk - Ein kleiner Eisbär findet Freunde,"Schröder, Patricia",,,,,not_found
ein fall fur die kichererbsen|katja reider,found,Ein Fall für die Kichererbsen,"Reider, Katja",9783619144815,Ein Fall für die Kichererbsen Katja Reider,"Reider, Katja",0.8627,dnb
tafiti band 004 und ur ur ururopas goldschatz|julia boehme,checked,Tafiti - Band 004 - und Ur-ur-ururopas Goldschatz,"Boehme, Julia",,,,,not_found
der kleine drache kokosnuss band 022 und die reise|,checked,Der kleine Drache Kokosnuss - Band 022 - und die Reise,,,,,,not_found
laden der traume band 004 der wikinger wettstreit|dirk ahner,checked,Laden der Träume - Band 004 - Der Wikinger-Wettstreit,"Ahner, Dirk",,,,,not_found
nele band 012 film ab auf burg kuckuckstein|usch luhn,checked,Nele - Band 012 - Film ab auf Burg Kuckuckstein,"Luhn, Usch",,,,,not_found
samba kicker aufruhr im stadion|fabian lenk,checked,Samba Kicker - Aufruhr im Stadion,"Lenk, Fabian",,,,,not_found
das magische baumhaus band 038 das verborgene|mary pope osborne,checked,Das magische Baumhaus - Band 038 - Das verborgene,"Osborne, Mary Pope",,,,,not_found
die drei kids band 039 der verruckte erfinder|ulf blanck,checked,Die drei ??? Kids - Band 039 - Der verrückte Erfinder,"Blanck, Ulf",,,,,not_found
die drei kids band 024 im bann des zauberers|ulf blanck,checked,Die drei ??? Kids - Band 024 - Im Bann des Zauberers,"Blanck, Ulf",,,,,not_found
die drei kids band 036 mission mars|boris pfeiffer,checked,Die drei ??? Kids - Band 036 - Mission Mars,"Pfeiffer, Boris",,,,,not_found
sternenritter band 003 der planet aus eis|michael peinkofer,checked,Sternenritter - Band 003 - Der Planet aus Eis,"Peinkofer, Michael",,,,,not_found
nur ein kuss von dir|s c ransom,checked,Nur ein Kuss von dir,"Ransom, S.C",,,,,not_found
die liebe der gottin|aprilynne pike,checked,Die Liebe der Göttin,"Pike, Aprilynne",,,,,not_found
nur ein blick von dir|s c ransom,checked,Nur ein Blick von dir,"Ransom, S.C",,,,,not_found
tom gates band 006 jetzt gibt s was auf die mutze|liz pichon,checked,Tom Gates - Band 006 - Jetzt gibt's was auf die Mütze,"Pichon, Liz",,,,,not_found
armouron die erste mission der space warriors|o b mc gann,checked,"Armouron, Die erste Mission der Space Warriors","Mc Gann, O.B.",,,,,not_found
ferien flirten flamingos|jochen till,found,"Ferien, Flirten & Flamingos","Till, Jochen",9783473525119,"Ferien, Flirten & Flamingos Jochen Till","Till, Jochen",0.8500,dnb
cool bleiben hugo|sabine zett,checked,"Cool bleiben, Hugo","Zett, Sabine",,,,,not_found
komm lass uns ein ding drehen|armin kaster,found,"Komm, lass uns ein Ding drehen!","Kaster, Armin",9783834632760,"Komm, lass uns ein Ding drehen! Armin Kaster","Kaster, Armin",0.8627,dnb
nur ein hauch von dir|s c ransom,found,Nur ein Hauch von dir,"Ransom, S.C",9783104020723,Nur ein Hauch von dir S. C. Ransom,"Ransom, Sue C.",0.8216,dnb
die lebenden und die toten|nele neuhaus,checked,Die Lebenden und die Toten,"Neuhaus, Nele",,,,,not_found
warum haben wir tomaten auf den augen|christian dreller,checked,Warum haben wir Tomaten auf den Augen?,"Dreller, Christian",,,,,not_found
sternenschweif band 039 funkelnder wasserzauber|linda chapman,checked,Sternenschweif - Band 039 - Funkelnder Wasserzauber,"Chapman, Linda",,,,,not_found
sternenschweif band 012 ein neuer freund|linda chapman,checked,Sternenschweif - Band 012 - Ein neuer Freund,"Chapman, Linda",,,,,not_found
sternenschweif band 023 liebeszauber|linda chapman,checked,Sternenschweif - Band 023 - Liebeszauber,"Chapman, Linda",,,,,not_found
die drei filmstar in gefahr band 046|henriette wich,checked,Die drei !!! - Filmstar in Gefahr - Band 046,"Wich, Henriette",,,,,not_found
die drei tatort geisterhaus band 045|henriette wich,checked,Die drei !!! - Tatort Geisterhaus - Band 045,"Wich, Henriette",,,,,not_found
obsidian|jennifer l armentrout,checked,OBSIDIAN,"Armentrout, Jennifer L.",,,,,not_found
tiger team band 040 geheimtreff schule|,checked,Tiger-Team - Band 040 - Geheimtreff Schule -,,,,,,not_found
beast quest band 002 sepron koniger der meere|adam blade,checked,"Beast Quest - Band 002 - Sepron, Königer der Meere","Blade, Adam",,,,,not_found
beast quest band 003 arcta bezwinger der berge|adam blade,checked,Beast Quest - Band 003 - Arcta Bezwinger der Berge,"Blade, Adam",,,,,not_found
beast quest band 004 tagus prinz der steppe|adam blade,checked,"Beast Quest - Band 004 - Tagus, Prinz der Steppe","Blade, Adam",,,,,not_found
beast quest band 006 eposs gebieter der lufte|adam blade,checked,Beast Quest - Band 006 - Eposs Gebieter der Lüfte,"Blade, Adam",,,,,not_found
beast quest band 005 nanook herrscherin der|adam blade,checked,Beast Quest - Band 005 - Nanook Herrscherin der,"Blade, Adam",,,,,not_found
schwarzer mittwoch|nicci french,checked,Schwarzer Mittwoch,"French, Nicci",,,,,not_found
die sieben schwestern|lucinda riley,checked,Die sieben Schwestern,"Riley, Lucinda",,,,,not_found
dunkler donnerstag|nicci french,checked,Dunkler Donnerstag,"French, Nicci",,,,,not_found
passagier 23|sebastian fitzek,checked,Passagier 23,"Fitzek, Sebastian",,,,,not_found
blauer montag|nicci french,checked,Blauer Montag,"French, Nicci",,,,,not_found
doppelbindung ein alpstein krimi band 1|walter burk,checked,Doppelbindung - Ein Alpstein-Krimi - Band 1,"Burk, Walter",,,,,not_found
doppelrolle ein alpstein krimi band 2|walter burk,checked,Doppelrolle - Ein Alpstein-Krimi - Band 2,"Burk, Walter",,,,,not_found
der kleine drache kokosnuss band 023 expedition auf|ingo siegner,checked,Der kleine Drache Kokosnuss - Band 023 - Expedition auf,"Siegner, Ingo",,,,,not_found
sternenschweif band 044 zauber der mondblumen|,checked,Sternenschweif - Band 044 - Zauber der Mondblumen,,,,,,not_found
die drei kids band 063 monster wolken|boris pfeiffer,checked,Die drei ??? Kids - Band 063 - Monster-Wolken,"Pfeiffer, Boris",,,,,not_found
die drei kids band 062 gefahr im dschungel|ulf blanck,checked,Die drei ??? Kids - Band 062 - Gefahr im Dschungel,"Blanck, Ulf",,,,,not_found
agent andy action der fall blaue hornisse|thilo,checked,Agent Andy Action - Der Fall Blaue Hornisse,THiLO,,,,,not_found
zwei meerschweinchen im klassenzimmer|judith allert,checked,Zwei Meerschweinchen im Klassenzimmer,"Allert, Judith",,,,,not_found
ein fall fur kwiatkowski band 021 schnufflerpech und|jurgen banscherus,checked,Ein Fall für Kwiatkowski - Band 021 - Schnüfflerpech und,"Banscherus, Jürgen",,,,,not_found
das magische baumhaus band 049 abenteuer im tal|mary pope osborne,checked,Das magische Baumhaus - Band 049 - Abenteuer im Tal,"Osborne, Mary Pope",,,,,not_found
pilotengeschichten|fischer hunold alexandra,checked,Pilotengeschichten,Fischer-Hunold Alexandra,,,,,not_found
notruf aus dem roboland|zapf,checked,Notruf aus dem Roboland,Zapf,,,,,not_found
beast quest band 008 clark riese des dschungels|adam blade,checked,Beast Quest - Band 008 - Clark Riese des Dschungels,"Blade, Adam",,,,,not_found
beast quest band 007 zefa gigant des ozeans|adam blade,checked,Beast Quest - Band 007 - Zefa Gigant des Ozeans,"Blade, Adam",,,,,not_found
die olchis und der karierte tigerhai|erhard dietl,checked,Die Olchis - und der karierte Tigerhai,"Dietl, Erhard",,,,,not_found
hexe lilli band 018 im wunderland|knister,checked,Hexe Lilli - Band 018 - im Wunderland,Knister,,,,,not_found
piratten band 03 das geheimnis der schatzkarte|michael peinkofer,checked,Piratten - Band 03 - Das Geheimnis der Schatzkarte,"Peinkofer, Michael",,,,,not_found
piratten band 04 der schrecken der sumpfe|michael peinkofer,checked,Piratten - Band 04 - Der Schrecken der Sümpfe,"Peinkofer, Michael",,,,,not_found
die drei band 048 die maske der konigin|mira sol,checked,Die drei !!! - Band 048 - Die Maske der Königin,"Sol, Mira",,,,,not_found
die drei band 054 klappe und action|mira sol,checked,Die drei !!! - Band 054 - Klappe und Action!,"Sol, Mira",,,,,not_found
die drei hochzeitsfieber band 053|henriette wich,checked,Die drei !!! - Hochzeitsfieber - Band 053,"Wich, Henriette",,,,,not_found
selection|,checked,Selection,,,,,,not_found
selection der erwahlte|kiera cass,checked,"Selection, Der Erwählte","Cass, Kiera",,,,,not_found
selection die elite|kiera cass,checked,"Selection, Die Elite","Cass, Kiera",,,,,not_found
total absturz|beate dolling,checked,Total Absturz,"Dölling, Beate",,,,,not_found
ein fall fur die pony kommissare|b rapley,checked,Ein Fall für die Pony-Kommissare,"Rapley, B",,,,,not_found
die drei der geist des goldgrabers band 177|andre marx,checked,Die drei ??? - Der Geist des Goldgräbers - Band 177,"Marx, André",,,,,not_found
alicia band 003 liebe gut alles gut|ilona einwohlt,checked,Alicia - Band 003 - Liebe gut alles gut!!!,"Einwohlt, Ilona",,,,,not_found
heldentage|sabine raml,checked,Heldentage,"Raml, Sabine",,,,,not_found
