title,author,status,from_cache
Die drei !!! - Band 038 - Stylist in Gefahr,Mira Sol,not_found,false
Die drei ??? - Band 167- und das blaue Biest,Hendrik Buchna,not_found,false
Piratten - Band 01 - Unter schwarzer Flagge,Michael Peinkofer,not_found,false
Die drei !!! - Band 016 - Total verknallt,Maya Vogel,not_found,false
Die drei !!! - Band 037 - Mission Pferdeshow,Henriette Wich,not_found,false
Verachtung - Band 4,Jussi Adler-Olsen,not_found,false
"Die Wanderhure, Bd 1",Iny Lorentz,not_found,false
"Das Vermächtnis der Wanderhure, Bd 3",Iny Lorentz,not_found,false
"Smaragdgrün, Liebe geht durch den Magen, Band 3",Kerstin Gier,not_found,false
"Saphirblau, Liebe geht durch alle Zeiten, Band 2",Kerstin Gier,not_found,false
"Rubinrot, Liebe geht durch alle Zeiten, Band 1",Kerstin Gier,not_found,false
Das Alphabet Haus,Jussi Adler-Olsen,isbn_missing,false
Tafiti - Band 001 - und die Reise ans Ende der Welt,Julia Boehme,not_found,false
Leo & Lolli - Band 002 - Ein Esel zum Verlieben,Julia Boehme,not_found,false
Nele - Band 005 - geht auf Klassenfahrt,Usch Luhn,not_found,false
Nele - Band 006 - und der indische Prinz,Usch Luhn,not_found,false
Das magische Baumhaus - Band 045 - Die Feder der,Mary Pope Osborne,not_found,false
Das magische Baumhaus - Band 012 - Auf den Spuren,Mary Pope Osborne,not_found,false
Der kleine Drache Kokosnuss - Band 019 - reist in die,Ingo Siegner,not_found,false
Das magische Baumhaus - Sammelband - Im Reich der,Mary Pope Osborne,not_found,false
Night School - Band 002 - der den Zweifel sät,C.J Daugherty,not_found,false
Die drei ??? - Band 171- Und das Phantom aus dem,Marco Sonnleitner,not_found,false
Die drei ??? - Strasse des Grauens - Band 170,Kari Erlhoff,not_found,false
Die drei ??? - Band 169 - Die Spur des Spielers,André Marx,not_found,false
Tiger-Team - Band 038 - Die Stunde des Hexenmeisters,Thomas Brezina,not_found,false
Tiger-Team - Band 048 - Der Ruf der Goldeule,Thomas Brezina,not_found,false
Tafiti - Band 002 - und das fliegende Pinselohrschwein,Julia Boehme,not_found,false
Ein Fall für Kwiatkowski - Band 022 - Grosse Jagd auf,Jürgen Banscherus,not_found,false
Das magische Baumhaus - Band 046 - Pandas in grosser,Mary Pope Osborne,not_found,false
FEUERWEHRGESCHICHTEN,Fischer-Hunold Alexandra,not_found,false
Liliane Susewind - Band 007 - Rückt dem Wolf nicht auf,Tanya Stewner,not_found,false
Sternenschweif - Band 015 - Das Geheimnis der,Linda Chapman,not_found,false
Sternenschweif - Band 027 - Die Zauberquelle,Linda Chapman,not_found,false
Der kleine Drache Kokosnuss - Band 013 - und das,Ingo Siegner,not_found,false
Laden der Träume - Band 001 - Das Gold der Piraten,Dirk Ahner,not_found,false
Tod im Schärengarten - Band 2,Viveca Sten,not_found,false
Die Toten von Sandhamn - Band 3,Viveca Sten,not_found,false
Erwartung - Band 5,Jussi Adler-Olsen,not_found,false
Escape - Band 001 - Fall bloss nicht auf,Tim Bowler,not_found,false
"Escape - Band 002 - Flieh, so schnell du kannst",Tim Bowler,not_found,false
"Escape - Band 003 - Lauf, so weit du kannst",Tim Bowler,not_found,false
Escape - Band 004 - Zeig keine Angst,Tim Bowler,not_found,false
Night School - Band 003 - denn Wahrheit musst du,C.J Daugherty,not_found,false
Die drei !!! - Band 040 - Achtung Spionage,Henriette Wich,not_found,false
Die drei !!! - Band 042 - Geheimnis der alten Villa,Maya Vogel,not_found,false
Die drei !!! - Skandal im Café Lomo! - Band 044,Henriette Wich,not_found,false
Monster Mia - Band 002 - und das schaurig-schöne,A.B Saddlewick,not_found,false
Das magische Baumhaus - Band 048 - Das Geheimnis,Mary Pope Osborne,not_found,false
Sternenritter - Band 001 - Die Festung im All,Michael Peinkofer,not_found,false
Monster Mia - Band 001 - und das grosse Fürchten,A.B Saddlewick,not_found,false
60 Sekunden - Der schrecken der Tiefsee - Band 01,Frank Reifenberg,not_found,false
Beast Quest - Band 001 - Ferno Herr des Feuers,Adam Blade,not_found,false
Die wilden Küken - Band 07 - Bühne frei!,Thomas Schmid,not_found,false
Die drei !!! - Band 049 - Skandal auf dem Laufsteg,Mira Sol,not_found,false
Die drei !!! - Band 051 - Krimi Dinner,Henriette Wich,not_found,false
Die wilden Küken - Band 004 - Es spukt!,Thomas Schmid,not_found,false
Die wilden Hühner - Band 006 - und das Leben,Thomas Schmid,not_found,false
Beim ersten Schärenlicht - Band 5,Viveca Sten,not_found,false
Endlich beliebt ! - Band 005,Amy Ignatow,not_found,false
Endlich beliebt! - Band 004,Amy Ignatow,not_found,false
Endlich beliebt! - Band 001,Amy Ignatow,not_found,false
Dork diaries - Band 03 - Mach dich zum Dork,Rachel Russell,not_found,false
Mein Lotta-Leben - Band 05 - Ich glaub meine Kröte,Alice Pantermüller,not_found,false
Mein Lotta-Leben - Band 02 - Wie belämmert ist das,Alice Pantermüller,not_found,false
Mein Lotta-Leben - Band 03 - Hier steckt der Wurm drin!,Alice Pantermüller,not_found,false
Der Clan der Wölfe - Band 001 - Donnerherz,Kathryn Lasky,not_found,false
Der Clan der Wölfe - Band 002 - Schattenkrieger,Kathryn Lasky,not_found,false
"Tom Gates - Band 001 - Wo ich bin ist Chaos, aber ich",Liz Pichon,not_found,false
Tom Gates - Band 004 - Ich bin so was von genial,Liz Pichon,not_found,false
Warrior Cats - 4/Band 1 - Der vierte Schüler,Erin Hunter,not_found,false
Chaos und flambierte Herzen,Hortense Ullrich,not_found,false
Gregs Tagebuch - Band 008 - Echt übel,Jeff Kinney,not_found,false
Tafiti - Band 003 - und das Riesenbaby,Julia Boehme,not_found,false
Tiger-Team - Band 038 - Die Stunde des Hexenmeisters,Thomas Brezina,not_found,true
Ponyherz - Band 001 - Anni findet ein Pony,Usch Luhn,not_found,false
Ponyherz - Band 002 - in Gefahr,Usch Luhn,not_found,false
Ein Fall für Kwiatkowski - Band 006 - Die afrikanische,Jürgen Banscherus,not_found,false
Ein Fall für Kwiatkowski - Band 017 - Detektive küsst man,Jürgen Banscherus,not_found,false
Fussballhelden,Thomas Brezina,not_found,false
Die drei ??? Kids - Band 058 - Spur der Drachen,Ulf Blanck,not_found,false
Bibi & Tina - der Tiger von Rothenbrunn,Stephan Gürtler,not_found,false
60 Sekunden - Band 02 - Das Geheimnis der,Frank Reifenberg,not_found,false
Die Schule der magischen Tiere - Band 004 -,Margit Auer,not_found,false
Die Schule der magischen Tiere - Band 001,Margit Auer,not_found,false
Mörderische Schärennächte - Band 4,Viveca Sten,not_found,false
Sternenritter - Band 002 - Angriff der Robotroxe,Michael Peinkofer,not_found,false
Die drei ??? Kids - Band 061 - Alarm im Dino-Park,Boris Pfeiffer,not_found,false
Tafiti - Band 004 - und Ur-ur-ururopas Goldschatz,Julia Boehme,not_found,false
Der kleine Drache Kokosnuss - Band 022 - und die Reise,,not_found,false
Laden der Träume - Band 004 - Der Wikinger-Wettstreit,Dirk Ahner,not_found,false
Nele - Band 012 - Film ab auf Burg Kuckuckstein,Usch Luhn,not_found,false
Samba Kicker - Aufruhr im Stadion,Fabian Lenk,not_found,false
Das magische Baumhaus - Band 038 - Das verborgene,Mary Pope Osborne,not_found,false
Die drei ??? Kids - Band 039 - Der verrückte Erfinder,Ulf Blanck,not_found,false
Die drei ??? Kids - Band 024 - Im Bann des Zauberers,Ulf Blanck,quota_guard_reached,false
Die drei ??? Kids - Band 036 - Mission Mars,Boris Pfeiffer,quota_guard_reached,false
Sternenritter - Band 003 - Der Planet aus Eis,Michael Peinkofer,quota_guard_reached,false
Nur ein Kuss von dir,S.C Ransom,quota_guard_reached,false
Die Liebe der Göttin,Aprilynne Pike,quota_guard_reached,false
Nur ein Blick von dir,S.C Ransom,quota_guard_reached,false
Tom Gates - Band 006 - Jetzt gibt's was auf die Mütze,Liz Pichon,quota_guard_reached,false
"Armouron, Die erste Mission der Space Warriors",O.B. Mc Gann,quota_guard_reached,false
"Cool bleiben, Hugo",Sabine Zett,quota_guard_reached,false
Die Lebenden und die Toten,Nele Neuhaus,quota_guard_reached,false
Warum haben wir Tomaten auf den Augen?,Christian Dreller,quota_guard_reached,false
Sternenschweif - Band 039 - Funkelnder Wasserzauber,Linda Chapman,quota_guard_reached,false
Sternenschweif - Band 012 - Ein neuer Freund,Linda Chapman,quota_guard_reached,false
Sternenschweif - Band 023 - Liebeszauber,Linda Chapman,quota_guard_reached,false
Die drei !!! - Filmstar in Gefahr - Band 046,Henriette Wich,quota_guard_reached,false
Die drei !!! - Tatort Geisterhaus - Band 045,Henriette Wich,quota_guard_reached,false
OBSIDIAN,Jennifer L. Armentrout,quota_guard_reached,false
Tiger-Team - Band 040 - Geheimtreff Schule -,,quota_guard_reached,false
"Beast Quest - Band 002 - Sepron, Königer der Meere",Adam Blade,quota_guard_reached,false
Beast Quest - Band 003 - Arcta Bezwinger der Berge,Adam Blade,quota_guard_reached,false
"Beast Quest - Band 004 - Tagus, Prinz der Steppe",Adam Blade,quota_guard_reached,false
Beast Quest - Band 006 - Eposs Gebieter der Lüfte,Adam Blade,quota_guard_reached,false
Beast Quest - Band 005 - Nanook Herrscherin der,Adam Blade,quota_guard_reached,false
Schwarzer Mittwoch,Nicci French,quota_guard_reached,false
Die sieben Schwestern,Lucinda Riley,quota_guard_reached,false
Dunkler Donnerstag,Nicci French,quota_guard_reached,false
Passagier 23,Sebastian Fitzek,quota_guard_reached,false
Blauer Montag,Nicci French,quota_guard_reached,false
Doppelbindung - Ein Alpstein-Krimi - Band 1,Walter Burk,quota_guard_reached,false
Doppelrolle - Ein Alpstein-Krimi - Band 2,Walter Burk,quota_guard_reached,false
Der kleine Drache Kokosnuss - Band 023 - Expedition auf,Ingo Siegner,quota_guard_reached,false
Sternenschweif - Band 044 - Zauber der Mondblumen,,quota_guard_reached,false
Die drei ??? Kids - Band 063 - Monster-Wolken,Boris Pfeiffer,quota_guard_reached,false
Die drei ??? Kids - Band 062 - Gefahr im Dschungel,Ulf Blanck,quota_guard_reached,false
Agent Andy Action - Der Fall Blaue Hornisse,THiLO,quota_guard_reached,false
Zwei Meerschweinchen im Klassenzimmer,Judith Allert,quota_guard_reached,false
Ein Fall für Kwiatkowski - Band 021 - Schnüfflerpech und,Jürgen Banscherus,quota_guard_reached,false
Das magische Baumhaus - Band 049 - Abenteuer im Tal,Mary Pope Osborne,quota_guard_reached,false
Pilotengeschichten,Fischer-Hunold Alexandra,quota_guard_reached,false
Notruf aus dem Roboland,Zapf,quota_guard_reached,false
Beast Quest - Band 008 - Clark Riese des Dschungels,Adam Blade,quota_guard_reached,false
Beast Quest - Band 007 - Zefa Gigant des Ozeans,Adam Blade,quota_guard_reached,false
Die Olchis - und der karierte Tigerhai,Erhard Dietl,quota_guard_reached,false
Hexe Lilli - Band 018 - im Wunderland,Knister,quota_guard_reached,false
Piratten - Band 03 - Das Geheimnis der Schatzkarte,Michael Peinkofer,quota_guard_reached,false
Piratten - Band 04 - Der Schrecken der Sümpfe,Michael Peinkofer,quota_guard_reached,false
Die drei !!! - Band 048 - Die Maske der Königin,Mira Sol,quota_guard_reached,false
Die drei !!! - Band 054 - Klappe und Action!,Mira Sol,quota_guard_reached,false
Die drei !!! - Hochzeitsfieber - Band 053,Henriette Wich,quota_guard_reached,false
Selection,,quota_guard_reached,false
"Selection, Der Erwählte",Kiera Cass,quota_guard_reached,false
"Selection, Die Elite",Kiera Cass,quota_guard_reached,false
Total Absturz,Beate Dölling,quota_guard_reached,false
Ein Fall für die Pony-Kommissare,B Rapley,quota_guard_reached,false
Die drei ??? - Der Geist des Goldgräbers - Band 177,André Marx,quota_guard_reached,false
Alicia - Band 003 - Liebe gut alles gut!!!,Ilona Einwohlt,quota_guard_reached,false
Heldentage,Sabine Raml,quota_guard_reached,false
Die Nordseedetektive - Band 001 - Das geheimnisvolle,Bettina Göschle,quota_guard_reached,false
Finde den Täter - Tatort Krähenstein,Julian Press,quota_guard_reached,false
Ronan Strongheart,Carter Roy,quota_guard_reached,false
Rückwärts ist kein Weg,Jana Frey,quota_guard_reached,false
Beast Quest - Band 010 - Vipero Fürst der Schlangen,Adam Blade,quota_guard_reached,false
