cache_key,status,title,author,isbn,matched_title,matched_author,source
ronja r ubertochter|astrid lindgren,checked,Ronja Räubertochter,Astrid Lindgren,,,,not_found
die schwarzen br der|lisa tetzner,checked,Die schwarzen Brüder,Lisa Tetzner,,,,not_found
die rote zora|kurt held,checked,Die rote Zora,Kurt Held,,,,not_found
ronja r ubertochter|astrid lindgren,checked,Ronja Räubertochter,Astrid Lindgren,,,,not_found
die schwarzen br der|lisa tetzner,checked,Die schwarzen Brüder,Lisa Tetzner,,,,not_found
