cache_key,title,author,found,status,isbn,isbn_type,matched_title,matched_author,google_id
ronja raubertochter|astrid lindgren,Ronja Räubertochter,Astrid Lindgren,true,found,9783486808179,ISBN_13,"Astrid Lindgren, Ronja Räubertochter",Sonja Müller-Schamell,,,https://books.google.com/books/content?id=I0xvSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I0xvSQAACAAJ
laura sucht den weihnachtsmann|,Laura sucht den Weihnachtsmann,,true,found,9783838757957,ISBN_13,Laura sucht den Weihnachtsmann,"Klaus Baumgart, Cornelia Neudert",Juvenile Fiction,"Lauras kleinem Bruder Tommy ist der ganze Weihnachtstrubel zu viel: Mama und Papa haben keine Zeit, und die Nikoläuse in den Kaufhäusern sind gar keine richtigen Weihnachtsmänner! Tommy ist überzeugt: ""Den Weihnachtsmann gibt's gar nicht in echt!"" Laura will Tommy helfen. Aber wie? Zum Glück hat sie ihren Stern. Der b...",https://books.google.com/books/content?id=uu3sAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,uu3sAwAAQBAJ
adventsgeschichten|,Adventsgeschichten,,true,found,9783847658344,ISBN_13,Adventskalender einmal anders,Christiane Siegert,Literary Collections,"Was wäre Weihnachten ohne die Adventszeit? Und was wäre die ohne Adventskalender? Doch ein Adventskalender muss nicht immer mit Schokolade gefüllt sein. Er kann genauso randvoll mit Erzählungen und Geschichten sein, die uns das Warten auf Weihnachten verkürzen. Und wer sagt, dass nur Kinder auf Weinachten warten? Gesc...",https://books.google.com/books/content?id=BU5qEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,BU5qEAAAQBAJ
igraine ohnefurcht|cornelia funke,Igraine Ohnefurcht,Cornelia Funke,true,found,9783862722884,ISBN_13,Igraine Ohnefurcht,Cornelia Funke,Juvenile Fiction,"Nach dem großen Erfolg ihres Märchenromans DRACHENREITER nun eine witzige Ritter- und Zaubergeschichte im unverwechselbaren, packenden Funke-Stil und mit stimmungsvollen Illustrationen der Autorin. Auf Burg Bibernell ist wirklich was los! Jeder Stein hat sein Geheimnis, und selbst der Burggraben birgt mehr als nur Was...",https://books.google.com/books/content?id=u9QuCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,u9QuCwAAQBAJ
die dreierbande und der verdachtige fotograf|hermien stellmacher,Die Dreierbande und der verdächtige Fotograf,Hermien Stellmacher,true,found,9783522300841,ISBN_13,Die Dreierbande und der verdächtige Fotograf,"Hermien Stellmacher, Joachim Schultz",,,https://books.google.com/books/content?id=NzEtAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,NzEtAAAACAAJ
fette fische|carl hiaasen,Fette Fische,Carl Hiaasen,true,found,9783464605721,ISBN_13,Fette Fische,Cornelia Witzmann,,,https://books.google.com/books/content?id=IN7bAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,IN7bAAAACAAJ
emma traut sich was|maja von vogel,Emma traut sich was,Maja von Vogel,true,found,9783781722262,ISBN_13,Emma traut sich was,Maja von Vogel,,"Neues von Emma, die dank Omas Hilfe alle Montags-Katastrophen in Familie, Wohngemeinschaft, Schule und erster Liebe bewältigt. Ab 11.",https://books.google.com/books/content?id=UhAIPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UhAIPQAACAAJ
eragon das vermachtnis der drachenreiter band|christopher paolini,ERAGON - Das Vermächtnis der Drachenreiter - Band,Christopher Paolini,false,not_found,,,,,,,,
fur alle falle emma|maja von vogel,Für alle Fälle Emma,Maja von Vogel,true,found,9783841500489,ISBN_13,Für alle Fälle Emma,Maja von Vogel,,,https://books.google.com/books/content?id=yeZcMwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,yeZcMwEACAAJ
nikolausgeschichten|elisabeth zoller,Nikolausgeschichten,Elisabeth Zöller,true,found,9783785557389,ISBN_13,Nikolausgeschichten,Elisabeth Zöller,,,https://books.google.com/books/content?id=eodnPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,eodnPQAACAAJ
monster mia und das entfuhrte drachenbaby band|a b saddlewick,Monster Mia - und das entführte Drachenbaby - Band,A.B Saddlewick,false,not_found,,,,,,,,
der kleine drache kokosnuss im spukschloss band 010|ingo siegner,Der kleine Drache Kokosnuss - im Spukschloss - Band 010,Ingo Siegner,false,not_found,,,,,,,,
der kleine drache kokosnuss und die starken wikinger|ingo siegner,Der kleine Drache Kokosnuss - und die starken Wikinger -,Ingo Siegner,true,found,9783570137048,ISBN_13,Der kleine Drache Kokosnuss und die starken Wikinger,Ingo Siegner,,"Kokosnuss und seine Freunde treffen einen einsamen Wikinger. Gudröd wurde von den anderen verstossen, weil er angeblich das Trinkhorn des Anführers gestohlen hat. Natürlich will Kokosnuss seine Unschuld beweisen. So stechen sie mit einem selbst gebauten Boot in See und suchen die Wikinger. Ab 7.",https://books.google.com/books/content?id=033QRwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,033QRwAACAAJ
fussballfieber spannende kickergeschichten|fabian lenk,Fussballfieber - Spannende Kickergeschichten,Fabian Lenk,true,found,9783473364770,ISBN_13,Fußballfieber,Fabian Lenk,,,https://books.google.com/books/content?id=CHY6jgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,CHY6jgEACAAJ
klassenreise an die see|heike wiechmann,Klassenreise an die See,Heike Wiechmann,true,found,9783473477449,ISBN_13,Leserabe: Klassenreise an die See,Heike Wiechmann,,,,bXoqswEACAAJ
liliane susewind ein nilpferd auf dem zebrastreifen|tanya stewner,Liliane Susewind - Ein Nilpferd auf dem Zebrastreifen -,Tanya Stewner,true,found,9783733601447,ISBN_13,Liliane Susewind – Ein Nilpferd auf dem Zebrastreifen,Tanya Stewner,Juvenile Fiction,"Immer lustig, immer spannend: Liliane Susewinds Abenteuer für die jüngsten Fans! Von Bestsellerautorin Tanya Stewner – mit großer Fibelschrift und fröhlich-bunten Bildern Lilli kann mit Tieren sprechen! Und das ist gut so, denn im Zoo wird ihre Hilfe dringend gebraucht: Sie soll herausfinden, warum das kleine Nilpferd...",https://books.google.com/books/content?id=uqneCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,uqneCgAAQBAJ
liliane susewind viel gerenne um eine henne band|tanya stewner,Liliane Susewind - Viel Gerenne um eine Henne - Band,Tanya Stewner,false,not_found,,,,,,,,
die drei kids band 66 geheimnis im meer|ulf blanck,Die drei ??? Kids - Band 66 - Geheimnis im Meer,Ulf Blanck,false,not_found,,,,,,,,
eragon der aufrag des altesten band 002|christopher paolini,ERAGON - Der Aufrag des Ältesten - Band 002,Christopher Paolini,false,not_found,,,,,,,,
himmelschlussel band 4|kristina ohlsson,Himmelschlüssel - Band 4,Kristina Ohlsson,false,not_found,,,,,,,,
die drei kids band 32 die gruselfalle|boris pfeiffer,Die drei ??? Kids - Band 32 - Die Gruselfalle,Boris Pfeiffer,false,not_found,,,,,,,,
