cache_key,title,author,found,status,isbn,isbn_type,matched_title,matched_author,google_id
ronja raubertochter|astrid lindgren,Ronja Räubertochter,Astrid Lindgren,true,found,9783486808179,ISBN_13,"Astrid Lindgren, Ronja Räubertochter",Sonja Müller-Schamell,,,https://books.google.com/books/content?id=I0xvSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I0xvSQAACAAJ
die drei kids band 008 angriff der roboter|boris pfeiffer,Die drei ??? Kids - Band 008 - Angriff der Roboter,Boris Pfeiffer,false,not_found,,,,,,,,
die drei kids band 043 duell der ritter|ulf blanck,Die drei ??? Kids - Band 043 - Duell der Ritter,Ulf Blanck,false,not_found,,,,,,,,
die drei band 154 botschaft aus der unterwelt|kari erlhoff,Die drei ??? - Band 154 - Botschaft aus der Unterwelt,Kari Erlhoff,false,not_found,,,,,,,,
die drei band 155 und der meister des todes|kari erlhoff,Die drei ??? - Band 155 - und der Meister des Todes,Kari Erlhoff,false,not_found,,,,,,,,
endlich beruhmt wie greg zum filmstar wurde|jeff kinney,Endlich berühmt ! Wie Greg zum Filmstar wurde,Jeff Kinney,true,found,9783833936395,ISBN_13,Gregs Filmtagebuch - Endlich berühmt!,Jeff Kinney,Juvenile Fiction,"Wer sich immer schon mal gefragt hat, wie ein Film gemacht wird, der ist nicht allein. Dem Autor und Illustrator Jeff Kinney gings nicht anders. Als die 20th Century Fox in Hollywood seinen Bestseller GREGS TAGEBUCH zu einem Realfilm umsetzte, war die Chance gekommen. Licht ins Dunkel zu bringen. Jeff Kinney konnte mi...",https://books.google.com/books/content?id=Ef3LSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Ef3LSAAACAAJ
die kaminski kids band 012 das geheimnis von|carlo meier,Die Kaminski-Kids - Band 012 - Das Geheimnis von,Carlo Meier,false,not_found,,,,,,,,
stromschnelle sport krimi|andreas schluter,Stromschnelle - Sport - Krimi,Andreas Schlüter,true,found,9783423714136,ISBN_13,Stromschnelle - Fünf Asse,Andreas Schlüter,,"Seine Kinderbücher sieht er deshalb auch als eine längst überfällige Kampfansage an die These, Computer würden die Kinder vereinsamen lassen, und ""wer Computer spiele, lese nicht"". Das seien die Ängste einer Generation, die schon am eigenen Videorekorder verzweifele.",https://books.google.com/books/content?id=50DhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,50DhQgAACAAJ
die ratsel der alhambra|markus spang,Die Rätsel der Alhambra,Markus Spang,true,found,9783423714150,ISBN_13,Die Rätsel der Alhambra,Markus Spang,,"In ihrem neuen Rätselabenteuer zum Mitraten folgen Anna, Fred und Opa Drechsel während des Spanienurlaubs einem vertrackten Rätselparcours durch die bekannte Maurenburg Alhambra. Für Mädchen und Jungs ab 10.",https://books.google.com/books/content?id=Kf3PQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Kf3PQgAACAAJ
herr rot in not|salah naoura,Herr Rot in Not,Salah Naoura,true,found,9783791514253,ISBN_13,Herr Rot in Not,Salah Naoura,,Dennis Mutter will ihrem blöden neuen Freund einen knallroten Super-Flausch-Bademantel zu Weihnachten schenken und ausgerechnet er soll den auch noch vom Laden abholen. Auf dem Nachhauseweg findet er einen halbnackten alten Mann im Schnee - und der braucht den Mantel doch viel dringender ...,https://books.google.com/books/content?id=TK3LSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,TK3LSAAACAAJ
leichenblasse|simon beckett,Leichenblässe,Simon Beckett,true,found,9783644200418,ISBN_13,Leichenblässe,Simon Beckett,Fiction,"Sein dritter Fall führt den forensischen Anthropologen David Hunter zu einem grausamen Serienmörder in den Smoky Mountains ... Bei seinem letzten Einsatz ist der forensische Anthropologe David Hunter nur knapp dem Tod entronnen. Von einer vollständigen Genesung ist er weit entfernt und zweifelt, ob er seinem Beruf noc...",https://books.google.com/books/content?id=4AFtAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4AFtAgAAQBAJ
funf freunde band 055 und das|enid blyton,Fünf Freunde - Band 055 - und das,Enid Blyton,false,not_found,,,,,,,,
die drei band 029 panik im freizeitpark|mira sol,Die drei !!! - Band 029 - Panik im Freizeitpark,Mira Sol,false,not_found,,,,,,,,
koalatraume|katja brandis,Koalaträume,Katja Brandis,true,found,9783401809472,ISBN_13,Koalaträume,Katja Brandis,Young Adult Fiction,"Katja Brandis reist in ihrer Geschichte ans andere Ende der Welt - und geradewegs in ein unglaubliches Abenteuer ... Die angehende Zootierpflegerin Juli wird nach Australien eingeladen und darf dort vier Wochen lang in einem Wildpark mit Koalas, Kängurus und Emus arbeiten. Immer wieder ist es der junge Aboriginal Coli...",https://books.google.com/books/content?id=9poMEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9poMEAAAQBAJ
die drei nacht der tiger band 159|marco sonnleitner,Die drei ??? - Nacht der Tiger - Band 159,Marco Sonnleitner,false,not_found,,,,,,,,
alles luge|anatol feid,Alles Lüge,Anatol Feid,true,found,9783401027623,ISBN_13,Alles Lüge,Anatol Feid,,,https://books.google.com/books/content?id=FcX-ewEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,FcX-ewEACAAJ
funf freunde band 061 suchen den piratenschatz|enid blyton,Fünf Freunde - Band 061 - suchen den Piratenschatz,Enid Blyton,false,not_found,,,,,,,,
die drei band 158 und der feuergeist|marco sonnleitner,Die drei ??? - Band 158 - und der Feuergeist,Marco Sonnleitner,false,not_found,,,,,,,,
die drei kids band 002 004 in seenot|ulf blanck,Die drei ??? Kids - Band 002 + 004 - In Seenot,Ulf Blanck,false,not_found,,,,,,,,
die drei kids band 010 die verhexte achterbahn|ulf blanck,Die drei ??? Kids - Band 010 - Die verhexte Achterbahn,Ulf Blanck,false,not_found,,,,,,,,
die drei kids band 046 jagd auf das dino ei|ulf blanck,Die drei ??? Kids - Band 046 - Jagd auf das Dino-Ei,Ulf Blanck,false,not_found,,,,,,,,
die drei kids band 009 der geisterfluss|ulf blanck,Die drei ??? Kids - Band 009 - Der Geisterfluss,Ulf Blanck,false,not_found,,,,,,,,
3 drachengeschichten|patricia schroder,3 Drachengeschichten,Patricia Schröder,true,found,9783570139288,ISBN_13,3 Drachengeschichten,Patricia Schröder,,Drei überaus witzig erzählte neue Drachengeschichten nach dem bewährten Vor- und Selbstlesekonzept der Reihe. Ab 6.,https://books.google.com/books/content?id=tSo3AwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,tSo3AwEACAAJ
sophie im land der zauberponys|patricia schroder,Sophie im Land der Zauberponys,Patricia Schröder,true,found,9783641041878,ISBN_13,"Erst ich ein Stück, dann du - Sophie im Land der Zauberponys",Patricia Schröder,Juvenile Fiction,"Die erfolgreiche Kinderbuchreihe mit bewährtem Konzept für das gemeinsame Lesenlernen und –üben Sophie gerät auf wundersame Weise in das magische Feenreich und trifft dort auf das Zauberpony Perlauge. Von ihm erfährt das Mädchen, dass es nicht zufällig in dieser funkelnden Wunderwelt gelandet ist: Denn das Feenreich i...",https://books.google.com/books/content?id=omak4hNokUQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,omak4hNokUQC
maskottchen|mark kurzem,Maskottchen,Mark Kurzem,true,found,9783502151548,ISBN_13,Maskottchen,Mark Kurzem,Fathers and sons,,,kBHvPAAACAAJ
verwesung|simon beckett,Verwesung,Simon Beckett,true,found,9783839892541,ISBN_13,Verwesung (Jubiläumsaktion),Simon Beckett,,,https://books.google.com/books/content?id=uQHLsgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,uQHLsgEACAAJ
todlicher mittsommer band 1|viveca sten,Tödlicher Mittsommer - Band 1,Viveca Sten,false,not_found,,,,,,,,
die schatzinsel|stevensen louis robert,Die Schatzinsel,Stevensen Louis Robert,true,found,9798568344971,ISBN_13,Die Schatzinsel,Robert Louis Stevenson,,Die Schatzinsel by Robert Louis Stevenson,https://books.google.com/books/content?id=t-YMzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,t-YMzgEACAAJ
nele band 003 und die geburtstagsparty|usch luhn,Nele - Band 003 - und die Geburtstagsparty,Usch Luhn,false,not_found,,,,,,,,
das magische baumhaus band 033 geheimauftrag|mary pope osborne,Das magische Baumhaus - Band 033 - Geheimauftrag,Mary Pope Osborne,false,not_found,,,,,,,,
das magische baumhaus band 036 der geheime flug|mary pope osborne,Das magische Baumhaus - Band 036 - Der geheime Flug,Mary Pope Osborne,false,not_found,,,,,,,,
das magische baumhaus band 030 im bann des|mary pope osborne,Das magische Baumhaus - Band 030 - Im Bann des,Mary Pope Osborne,false,not_found,,,,,,,,
nils holgersson|selma lagerlof,Nils Holgersson,Selma Lagerlöf,true,found,9783464800850,ISBN_13,Nils Holgersson,,,,https://books.google.com/books/content?id=AfxjPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,AfxjPQAACAAJ
die drei kids band 048 tanz der skelette|boris pfeiffer,Die drei ??? Kids - Band 048 - Tanz der Skelette,Boris Pfeiffer,false,not_found,,,,,,,,
die drei kids band 049 der singende geist|ulf blanck,Die drei ??? Kids - Band 049 - Der singende Geist,Ulf Blanck,false,not_found,,,,,,,,
das magische baumhaus band 018 rettung in der|mary pope osborne,Das magische Baumhaus - Band 018 - Rettung in der,Mary Pope Osborne,false,not_found,,,,,,,,
glee wie alles begann|lowell,Glee wie alles begann,Lowell,false,isbn_missing,,,,,,,,
glee buhne frei|lowell,glee Bühne frei!,Lowell,false,not_found,,,,,,,,
die tribute von panem band 03 flammender zorn|suzanne collins,Die Tribute von Panem - Band 03 - flammender Zorn,Suzanne Collins,false,not_found,,,,,,,,
die drei band 031 betrug in den charts|petra steckelmann,Die drei !!! - Band 031- Betrug in den Charts,Petra Steckelmann,false,not_found,,,,,,,,
die drei und der schreiende nebel band 162|hendrik buchna,Die drei ??? - und der schreiende Nebel - Band 162,Hendrik Buchna,false,not_found,,,,,,,,
die drei band 196 geheimnisvolle botschaften|christoph dittert,Die drei ??? - Band 196 - Geheimnisvolle Botschaften,Christoph Dittert,false,not_found,,,,,,,,
lola schwesterherz|isabel abedi,Lola Schwesterherz,Isabel Abedi,true,found,9783785556764,ISBN_13,Lola Schwesterherz,Isabel Abedi,Children's stories,"Lola ist ganz aus dem Häuschen, weil ihre Mutter ein Baby erwartet. Sie freut sich riesig auf den kleinen Bruder und bemüht sich um einen Babysitter-Job, um den Umgang mit äJungs-Babysä zu üben. Schliesslich will sie alles richtig machen, wenn der Kleine endlich da ist ... Ab 9.",https://books.google.com/books/content?id=b-zlSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,b-zlSAAACAAJ
no jungs wer wird schonheitskonigin|thomas brezina,No Jungs ! Wer wird Schönheitskönigin',Thomas Brezina,false,not_found,,,,,,,,
wolfenblut|di toft,Wolfenblut,Di Toft,true,found,9783551520227,ISBN_13,Wolfenblut,Di Toft,Juvenile Fiction,Die telepathisch verbundenen Freunde Woody und Nat sind in Frankreich auf Vampirjagd. Unterstützt werden sie durch eine Zirkustruppe nicht menschlicher Wesen und die Agentin Alex. Doch die Vampire sind in der Übermacht und auch ihr Erzfeind Lucas Scale gibt nicht auf. Ab 11.,https://books.google.com/books/content?id=_813AwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,_813AwAAQBAJ
die drei band 161 die blutenden bilder|kari erlhoff,Die drei ??? - Band 161 - Die blutenden Bilder,Kari Erlhoff,false,not_found,,,,,,,,
momo|michael ende,MOMO,Michael Ende,true,found,9783522621113,ISBN_13,Momo,Michael Ende,Juvenile Fiction,"Weltbestseller, Klassiker, Kultbuch – für Mädchen und Jungen ab 12 Jahren Momo, ein kleines struppiges Mädchen, lebt am Rande einer Großstadt in den Ruinen eines Amphitheaters. Sie besitzt nichts als das, was sie findet oder was man ihr schenkt, und eine außergewöhnliche Gabe: Sie hört Menschen zu und schenkt ihnen Ze...",https://books.google.com/books/content?id=ryE3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ryE3DwAAQBAJ
eragon band 004 das erbe der macht|christopher paolini,ERAGON - Band 004 - Das Erbe der Macht,Christopher Paolini,false,not_found,,,,,,,,
anton und das geheimnis im finsterwald|patricia schroder,Anton und das geheimnis im Finsterwald,Patricia Schröder,true,found,9783570139240,ISBN_13,Anton und das Geheimnis im Finsterwald,Patricia Schröder,,Der 9-jährige Anton wohnt in den Ferien wieder bei seiner Tante Thea in deren windschiefem Haus am Waldrand. Doch diesmal erscheint Anton der Wald bedrohlich. Sind die gruseligen Geschichten über Gnunome und Werwölfe der 7-jährigen Janna schuld? Für gemeinsames Vor- und Selberlesen ab 6.,https://books.google.com/books/content?id=THUckgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,THUckgEACAAJ
hexe lilli band 013 und der verruckte ritter|knister,Hexe Lilli - Band 013 - und der verrückte Ritter,Knister,false,not_found,,,,,,,,
die drei kids band 050 schatz der piraten|boris pfeiffer,Die drei ??? Kids - Band 050 - Schatz der Piraten,Boris Pfeiffer,false,not_found,,,,,,,,
der kleine ritter trenk|kirsten boie,Der kleine Ritter Trenk,Kirsten Boie,true,found,9783862740727,ISBN_13,Der kleine Ritter Trenk,Kirsten Boie,Juvenile Fiction,"Auf ins Leseabenteuer! Mit Ritterglück und Drachenmut Leibeigen geboren, leibeigen gestorben, leibeigen ein Leben lang - ja, so heißt es wohl! Aber ist es nicht schrecklich ungerecht, das alle Bauern ihrem Ritter gehören und kein bisschen sich selbst? Das findet jedenfalls der Bauernjunge Trenk. Er will es einmal bess...",https://books.google.com/books/content?id=r5qkBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,r5qkBwAAQBAJ
die flaschengeistprufung|von vogel maja,Die Flaschengeistprüfung,von Vogel Maja,false,not_found,,,,,,,,
schandung band 2|jussi adler olsen,Schändung - Band 2,Jussi Adler-Olsen,false,not_found,,,,,,,,
erbarmen band 1|jussi adler olsen,Erbarmen - Band 1,Jussi Adler-Olsen,false,not_found,,,,,,,,
erlosung band 3|jussi adler olsen,Erlösung - Band 3,Jussi Adler-Olsen,false,not_found,,,,,,,,
aschenputtel|kristina ohlsson,Aschenputtel,Kristina Ohlsson,true,found,9783641064082,ISBN_13,Aschenputtel,Kristina Ohlsson,Fiction,"Der Start der packenden Bestsellerreihe aus Schweden: »Wer auf klassische skandinavische Krimis steht, macht mit diesem Buch alles richtig.« NDR Info Hochsommer in Schweden. Es regnet Bindfäden. Der voll besetzte Schnellzug nach Stockholm muss außerplanmäßig halten. Eine junge Frau tritt hinaus aufs Bahngleis, um unge...",https://books.google.com/books/content?id=sStJI2S_ZGMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,sStJI2S_ZGMC
seekers die suche beginnt|erin hunter,"Seekers, Die Suche beginnt",Erin Hunter,true,found,9783407811042,ISBN_13,Seekers - Die Suche beginnt,Erin Hunter,Juvenile Fiction,"»Ich werde tun, was du gesagt hast, und zu dem Ort des endlosen Eises gehen. Und vielleicht, wenn das wirklich der Ort ist, an dem die Seelen tanzen, werde ich auch dich dort finden.« Hoch im Norden Amerikas machen sich drei junge Bären, jeder auf sich gestellt, auf eine außergewöhnliche Reise. Lusa, die kleine Schwar...",https://books.google.com/books/content?id=r0XzwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,r0XzwAEACAAJ
die tribute von panem band 02 gefahrliche liebe|suzanne collins,Die Tribute von Panem - Band 02 - gefährliche Liebe,Suzanne Collins,false,not_found,,,,,,,,
wir kinder vom bahnhof zoo|f christiane,Wir Kinder vom Bahnhof Zoo,F Christiane,true,found,9788203123801,ISBN_13,Wir kinder vom Bahnhof Zoo,Christiane F. (psevd. for Vera Christiane Felsherinow),,,,W52xtQEACAAJ
mein lotta leben band 01 alles voller kaninchen|alice pantermuller,Mein Lotta Leben - Band 01 - Alles voller Kaninchen,Alice Pantermüller,false,not_found,,,,,,,,
dork diaries band 03 nikkis phanomenaler auftritt|rachel russell,Dork Diaries - Band 03 - Nikkis phänomenaler Auftritt,Rachel Russell,true,found,9783505128622,ISBN_13,"DORK Diaries, Band 03",Rachel Renée Russell,Juvenile Fiction,"Die erste Regel für echte DORKs: kaum aus einem Schlamassel heraus, möglichst unverzüglich ins nächste Fettnäpfchen treten. Und niemand beherzigt diese Regel so gewissenhaft wie Nikki. Als sie bei einem Familienausflug mit ihrer kleinen Schwester auf der Karaokebühne landet, befindet sich ausgerechnet MacKenzie – abso...",https://books.google.com/books/content?id=0aOxpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0aOxpwAACAAJ
das mit mir und romeo|dagmar chidolue,Das mit mir und Romeo,Dagmar Chidolue,true,found,9783104017518,ISBN_13,Das mit mir und Romeo,Dagmar Chidolue,Juvenile Fiction,"Eine süße Freundschaftsgeschichte über zwei, die sich am Anfang nocht nicht einmal ansehen wollen, für Mädchen ab 10 Das hat Julia gerade noch gefehlt: Ihre neue Klasse bricht in johlendes Gelächter aus, als die Lehrerin sie mit Namen vorstellt, denn es gibt einen Schüler, der Romeo heißt. Na toll! Reicht es denn etwa...",https://books.google.com/books/content?id=fU9tAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fU9tAgAAQBAJ
die wilden kuken band 005 auf schatzsuche|thomas schmid,Die wilden Küken - Band 005 - Auf Schatzsuche,Thomas Schmid,false,not_found,,,,,,,,
die drei und der verschollene pilot band 163|ben nevis,Die drei ??? - und der verschollene Pilot - Band 163,Ben Nevis,false,not_found,,,,,,,,
die drei falsches spiel im internat band 030|von vogel maja,Die drei !!! - Falsches Spiel im Internat - Band 030,von Vogel Maja,false,not_found,,,,,,,,
die drei band 034 brandgefahrlich|von vogel maja,Die drei !!! - Band 034 - Brandgefährlich,von Vogel Maja,false,not_found,,,,,,,,
das magische baumhaus band 028 das verzauberte|mary pope osborne,Das magische Baumhaus - Band 028 - Das verzauberte,Mary Pope Osborne,false,not_found,,,,,,,,
storenfrieda lauter krachgeschichten|jana frey,Störenfrieda - Lauter Krachgeschichten,Jana Frey,true,found,9783401508412,ISBN_13,Störenfrieda 01. Lauter Krachgeschichten,Jana Frey,,,https://books.google.com/books/content?id=VKkAjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,VKkAjwEACAAJ
die schonsten marchen von h c andersen|andersen hans christian,Die schönsten Märchen von H.C.Andersen,Andersen Hans Christian,false,isbn_missing,,,,,,,,
3 rittergeschichten|patricia schroder,3 Rittergeschichten,Patricia Schröder,true,found,9783570154809,ISBN_13,Drei Rittergeschichten,Patricia Schröder,,"Drei abenteuerliche Rittergeschichten in einem Band. Ritter Fürchtemich schickt seine beiden Söhne hinaus in die Welt, ein echtes Drachenabenteuer zu bestehen, Geisterritter Gustav versucht kettenrasselnd seine Burg zu retten und Knappe Julius kämpft gegen einen Bären ... Ritter haben's wirklich nicht leicht! Patricia...",https://books.google.com/books/content?id=V3_WuQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,V3_WuQAACAAJ
die drei kids band 052 machtige magier|boris pfeiffer,Die Drei ??? Kids - Band 052 - Mächtige Magier,Boris Pfeiffer,false,not_found,,,,,,,,
piratten band 02 gefangen auf rattuga|peinkofer michael,Piratten - Band 02 - Gefangen auf Rattuga,Peinkofer Michael,false,not_found,,,,,,,,
das magische baumhaus band 051 lawinenhunde|mary pope osborne,Das magische Baumhaus - Band 051 - Lawinenhunde,Mary Pope Osborne,false,not_found,,,,,,,,
no jungs handy handy in der hand|thomas brezina,"No Jungs! Handy, Handy in der Hand...",Thomas Brezina,false,not_found,,,,,,,,
sherlock holmes academy|holly watson,Sherlock Holmes Academy,Holly Watson,true,found,9783522503167,ISBN_13,Die Sherlock-Holmes-Academy,Holly Watson,Boarding schools,Trudy and her new friend Marlene start to crack codes and learn to be detectives in the boarding school with other boys and girls in the Scottish moor.,https://books.google.com/books/content?id=0umapwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0umapwAACAAJ
night school band 001 du darfst keinem trauen|c j daugherty,Night School - Band 001 - Du darfst keinem trauen,C.J Daugherty,false,not_found,,,,,,,,
wie viele level hat dein leben|werner farber,Wie viele Level hat dein Leben?,Werner Färber,true,found,9783473981250,ISBN_13,"Werner Färber, Wie viele Level hat dein Leben?",Karolina Fell,,,https://books.google.com/books/content?id=tIrOuQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,tIrOuQAACAAJ
verletzt|stella negri,Verletzt,Stella Negri,true,found,9783834606488,ISBN_13,Verletzt,Stella Negri,,,https://books.google.com/books/content?id=IqcmQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,IqcmQwAACAAJ
die wilden kuken band 006 ab ins abenteuer|thomas schmid,Die wilden Küken - Band 006 - Ab ins Abenteuer,Thomas Schmid,false,not_found,,,,,,,,
die drei band 038 stylist in gefahr|mira sol,Die drei !!! - Band 038 - Stylist in Gefahr,Mira Sol,false,not_found,,,,,,,,
die drei band 167 und das blaue biest|hendrik buchna,Die drei ??? - Band 167- und das blaue Biest,Hendrik Buchna,false,not_found,,,,,,,,
rick 1 wie man seine durchgeknallte familie uberlebt|antje szillat,"Rick 1, Wie man seine durchgeknallte Familie überlebt",Antje Szillat,true,found,9783551313430,ISBN_13,Rick 01: Wie man seine durchgeknallte Familie überlebt,Antje Szillat,,,https://books.google.com/books/content?id=kQGRoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,kQGRoAEACAAJ
papa auf der spur|katrin stehle,Papa auf der Spur,Katrin Stehle,true,found,9783522303156,ISBN_13,Papa auf der Spur,Katrin Stehle,,,https://books.google.com/books/content?id=ITX2ugAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ITX2ugAACAAJ
piratten band 01 unter schwarzer flagge|michael peinkofer,Piratten - Band 01 - Unter schwarzer Flagge,Michael Peinkofer,false,not_found,,,,,,,,
codewort 007 alarm im advent|antonia michaelis,"codewort 007 , Alarm im Advent",Antonia Michaelis,true,found,9783789142673,ISBN_13,Codewort 007 - Alarm im Advent,Antonia Michaelis,,,https://books.google.com/books/content?id=4mTnuQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4mTnuQAACAAJ
die drei band 016 total verknallt|maya vogel,Die drei !!! - Band 016 - Total verknallt,Maya Vogel,false,not_found,,,,,,,,
die drei band 037 mission pferdeshow|henriette wich,Die drei !!! - Band 037 - Mission Pferdeshow,Henriette Wich,false,not_found,,,,,,,,
tausendschon|kristina ohlsson,Tausendschön,Kristina Ohlsson,true,found,9783641080402,ISBN_13,Tausendschön,Kristina Ohlsson,Fiction,"Komplex, intelligent und überraschend! Der zweite Fall für die schwedische Ermittlerin Fredrika Bergman. Ein junges Mädchen wird am Mittsommerabend überfallen und vergewaltigt. Fünfzehn Jahre später stirbt ein Mann bei einem Unfall mit Fahrerflucht, doch niemand scheint ihn zu vermissen. Zeitgleich begehen ein Pfarrer...",https://books.google.com/books/content?id=3O3uCtariQoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3O3uCtariQoC
verachtung band 4|jussi adler olsen,Verachtung - Band 4,Jussi Adler-Olsen,false,not_found,,,,,,,,
die wanderhure bd 1|iny lorentz,"Die Wanderhure, Bd 1",Iny Lorentz,false,not_found,,,,,,,,
die kastellanin|iny lorentz,Die Kastellanin,Iny Lorentz,true,found,9783426554692,ISBN_13,Die Kastellanin,Iny Lorentz,Fiction,"Sinnlich, lebensfroh und voller dramatischer Verwicklungen - die spannende Fortsetzung der »Wanderhure« von Iny Lorentz Marie und ihr Ehemann Michel Adler leben glücklich und voller Liebe zusammen. Ihr Glück scheint vollkommen, als sie ein Kind erwartet. Doch dann muss Michel in den Kampf gegen die aufständischen Huss...",https://books.google.com/books/content?id=lS9sAgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,lS9sAgAAQBAJ
das vermachtnis der wanderhure bd 3|iny lorentz,"Das Vermächtnis der Wanderhure, Bd 3",Iny Lorentz,false,not_found,,,,,,,,
die tochter der wanderhure|iny lorentz,Die Tochter der Wanderhure,Iny Lorentz,true,found,9783426554708,ISBN_13,Die Tochter der Wanderhure,Iny Lorentz,Fiction,"Ein neues Kapitel in der historischen Saga um die Wanderhure Marie und ihre Familie Mehr als zwölf Jahre sind vergangen, seit Marie ihre letzten Abenteuer bestehen musste. Glücklich und zufrieden lebt sie mit ihrem Mann auf Burg Kibitzstein – bis ihr Gönner, der Würzburger Fürstbischof, stirbt: Seinem Nachfolger sind...",https://books.google.com/books/content?id=nAZuAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,nAZuAgAAQBAJ
smaragdgrun liebe geht durch den magen band 3|kerstin gier,"Smaragdgrün, Liebe geht durch den Magen, Band 3",Kerstin Gier,false,not_found,,,,,,,,
saphirblau liebe geht durch alle zeiten band 2|kerstin gier,"Saphirblau, Liebe geht durch alle Zeiten, Band 2",Kerstin Gier,false,not_found,,,,,,,,
rubinrot liebe geht durch alle zeiten band 1|kerstin gier,"Rubinrot, Liebe geht durch alle Zeiten, Band 1",Kerstin Gier,false,not_found,,,,,,,,
tochter der sunde|iny lorentz,Töchter der Sünde,Iny Lorentz,true,found,9783426662458,ISBN_13,Töchter der Sünde,Iny Lorentz,,Een jonge edelman die in 1450 een jonge abdis naar Rome moet begeleiden speelt ongeweten een rol in de machtsstrijd tussen de Duitse keizer Frederik III en paus Nicolaas V.,https://books.google.com/books/content?id=yJKwpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,yJKwpwAACAAJ
dolphin rider|markus bennemann,Dolphin Rider,Markus Bennemann,true,found,9783522620741,ISBN_13,Dolphin Rider,Markus Bennemann,Juvenile Fiction,"Robbys ganze Leidenschaft gilt dem Surfen, und weil er zu den besten gehört, fehlt es nie an Bewunderern. Doch was sich dann am Strand von Sylt ereignet, ist einzigartig: Ein Delfin taucht auf und genießt zusammen mit dem jungen Surfer das ungestüme Spiel der Wellen. Und mehr: Das Tier lässt zu, dass Robby auf seinem...",https://books.google.com/books/content?id=BQkcAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,BQkcAwAAQBAJ
das alphabet haus|jussi adler olsen,Das Alphabet Haus,Jussi Adler-Olsen,false,isbn_missing,,,,,,,,
eine zweite chance|karin alvtegen,Eine zweite Chance,Karin Alvtegen,true,found,9783442753376,ISBN_13,Eine zweite Chance,Karin Alvtegen,,"Die 45-jährige Helena zieht von Stockholm nach Norrland und eröffnet ein Hotel. Als ihr Mann sie verlässt, liegt alles in Scherben. Anders Strandberg ist finanziell unabhängig, doch das Leben kann er nicht geniessen. Schliesslich führt ihn das Schicksal im Helenas kleines Hotel.",https://books.google.com/books/content?id=IOaxNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,IOaxNAEACAAJ
tafiti band 001 und die reise ans ende der welt|julia boehme,Tafiti - Band 001 - und die Reise ans Ende der Welt,Julia Boehme,false,not_found,,,,,,,,
leo lolli band 002 ein esel zum verlieben|julia boehme,Leo & Lolli - Band 002 - Ein Esel zum Verlieben,Julia Boehme,false,not_found,,,,,,,,
nele band 005 geht auf klassenfahrt|usch luhn,Nele - Band 005 - geht auf Klassenfahrt,Usch Luhn,false,not_found,,,,,,,,
kleiner hund in grosser gefahr|bengt birck,Kleiner Hund in grosser Gefahr,Bengt Birck,true,found,9783785572153,ISBN_13,Lesepiraten - Kleiner Hund in großer Gefahr,Bengt Birck,,,https://books.google.com/books/content?id=wCjNlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wCjNlgEACAAJ
