title,author,isbn,matched_title,matched_author,confidence,source
Erdbeerinchen Erdbeerfee - Ein geheimnisvolles,Stefanie Dahle,9783401716701,Erdbeerinchen Erdbeerfee - ein geheimnisvolles Geschenk Stefanie Dahle,"Dahle, Stefanie",0.8393,dnb
Bird girl - wie mein Glück fliegen lernte,Sandy Stark-McGinnis,9783641244781,Bird Girl - Wie mein Glück fliegen lernte Sandy Stark-McGinnis,"Stark-McGinnis, Sandy",0.8409,dnb
Mein unverhoffter Pferdesommer,Mina Teichert,9783764152147,Mein unverhoffter Pferdesommer Mina Teichert,"Teichert, Mina",0.8581,dnb
Die beste Zeit ist am Ende der Welt,Sara Barnard,9783038800453,Die beste Zeit ist am Ende der Welt Sara Barnard,"Barnard, Sara",0.8825,dnb
Vergissmeinnicht - Was man bei Licht nicht sehen kann,Kerstin Gier,9783596706181,Vergissmeinnicht - was man bei Licht nicht sehen kann Roman Kerstin Gier,"Gier, Kerstin",0.8822,dnb
Das Universum ist verdammt groß und supermystisch,Lisa Krusche,9783407813138,Das Universum ist verdammt groß und supermystisch Lisa Krusche,"Krusche, Lisa",0.9106,dnb
Die Geister der Pandora Pickwick,Christina Wolff,9783747800508,Die Geister der Pandora Pickwick Christina Wolff,"Wolff, Christina",0.8500,dnb
Gregs Tagebuch 16 - Volltreffer!,Jeff Kinney,9783751716123,Gregs Tagebuch 16 - Volltreffer! Jeff Kinney,"Kinney, Jeff",0.8714,dnb
MS Kristiana - Eine Liebe am Ende der Welt,Greta Jänicke,9783751703826,MS Kristiana - Eine Liebe am Ende der Welt Roman Greta Jänicke,"Jänicke, Greta",0.8500,dnb
Fräulein Gold - Band 4 - Die Stunde der Frauen,Anne Stern,9783644010109,Fräulein Gold: Die Stunde der Frauen Anne Stern,"Stern, Anne",0.8466,dnb
Null gleich eins,Arne Dahl,9783844923247,Null gleich eins Arne Dahl,"Dahl, Arne",0.8214,dnb
Das Lied des Waldes,Klara Jahn,9783837159301,Das Lied des Waldes Klara Jahn,"Jahn, Klara",0.8316,dnb
Die Zeitdetektive - Der Schatz der Wikinger,Fabian Lenk,9787539574226,"Die Zeitdetektive - Der Schatz der Wikinger, chinesisch","Lenk, Fabian",0.9113,dnb
Die Pfeffermiezen und das Liebeshandy,Patricia Schröder,9783401511313,Die Pfeffermiezen und das Liebeshandy Patricia Schröder,"Schröder, Patricia",0.8533,dnb
Die Knickerbocker Bande - Die Rache der roten Mumie,Thomas - Brezina,9783838060040,Die Knickerbocker Bande - die Rache der roten Mumie Thomas Brezina,"Brezina, Thomas",0.9004,dnb
Die Toten von Fleat House,Lucinda Riley,9783844546026,Die Toten von Fleat House Lucinda Riley,"Riley, Lucinda",0.8359,dnb
Das Grand Hotel - Die der Brandung trotzen,Caren Benedikt,9783837159288,Das Grand Hotel - Die der Brandung trotzen Caren Benedikt,"Benedikt, Caren",0.8816,dnb
Die Hafenärztin - Ein Leben für die Freiheit der Frauen,Henrike Engel,9783864931901,Die Hafenärztin - ein Leben für die Freiheit der Frauen Roman Henrike Engel,"Engel, Henrike",0.8810,dnb
Lake Paradise – Ein Zuhause für das Glück,Manuela Inusa,9783644011380,Lake Paradise – Ein Zuhause für das Glück Manuela Inusa,"Inusa, Manuela",0.8859,dnb
Drei Tage im August,Anne Stern,9783961057498,Drei Tage im August Anne Stern,"Stern, Anne",0.8316,dnb
Die Rückkehr der Kraniche,Romy Fölck,9783644014459,Die Rückkehr der Kraniche Romy Fölck,"Fölck, Romy",0.8648,dnb
Die Hafenärztin - Ein Leben für das Glück der Kinder (2),Henrike Engel,9783864931895,Die Hafenärztin - ein Leben für das Glück der Kinder Roman Henrike Engel,"Engel, Henrike",0.8770,dnb
Fräulein vom Amt – die Nachricht des Mörders,Charlotte Blum,9783104915098,Fräulein vom Amt – Die Nachricht des Mörders Roman Charlotte Blum,"Blum, Charlotte",0.8500,dnb
Die Botschaft der Riesenkalmare,Fabio Genovesi,9783104915340,Die Botschaft der Riesenkalmare Fabio Genovesi,"Genovesi, Fabio",0.8539,dnb
Dark Sigils : Was die Magie verlangt,Anna Benning,9783733604950,Dark Sigils – Was die Magie verlangt Band 1 Anna Benning,"Benning, Anna",0.8295,dnb
Wie man alles verbockt und doch gewinnt,Stephan Knösel,9783737342414,Wie man alles verbockt und doch gewinnt Stephan Knösel,"Knösel, Stephan",0.8790,dnb
Der Gesang der Wasserpferde,Karin Müller,9783505150029,Der Gesang der Wasserpferde Karin Müller,"Müller, Karin",0.8545,dnb
Als unsere Herzen fliegen lernten,Iona Grey,9783844522907,Als unsere Herzen fliegen lernten Roman Iona Grey,"Grey, Iona",0.8537,dnb
Das Orchideenhaus,Lucinda Riley,9783844531855,Das Orchideenhaus,"Riley, Lucinda",1.0000,dnb
Eine Familie in Berlin - Paulas Liebe (1),Ulrike Renk,9783841226693,Eine Familie in Berlin - Paulas Liebe Roman Ulrike Renk,"Renk, Ulrike",0.8500,dnb
Die Hafenärztin - Ein Leben für das Recht auf Liebe (3),Henrike Engel,9783864932137,Die Hafenärztin - ein Leben für das Recht auf Liebe Roman Henrike Engel,"Engel, Henrike",0.8750,dnb
Jungs verstehen das nicht!,Emma Flint,9783401607023,Jungs verstehen das nicht! Emma Flint,"Flint, Emma",0.8648,dnb
Detektivinnen in Gefahr,Kirsten Vogel,9783440174906,Detektivinnen in Gefahr Kirsten Vogel,"Vogel, Kirsten",0.8250,dnb
Die Zukunft in meiner Hand,Andreas Z. Simon,9783407813091,Die Zukunft in meiner Hand Andreas Z. Simon,"Simon, Andreas Z.",0.8235,dnb
Wie man seinen Papa aktualisiert,Pete Johnson,9783845854311,Wie man seinen Papa aktualisiert Pete Johnson,"Johnson, Pete",0.8734,dnb
You will be the death of me,Karen M. McManus,9783742422866,You Will Be the Death of Me Karen M. McManus,"McManus, Karen M.",0.8286,dnb
Cursed Worlds … erwacht das Licht,Rena Fischer,9783969760208,Cursed Worlds … erwacht das Licht Rena Fischer,"Fischer, Rena",0.8700,dnb
Der kleine Drache Kokosnuss - Dinosaurier,Ingo Siegner,9783570171943,Der kleine Drache Kokosnuss - Dinosaurier-Rätselspaß Ingo Siegner,"Siegner, Ingo",0.8292,dnb
Der kleine Drache Kokosnuss - Hokuspokus!,Ingo Siegner,9783570180143,Der kleine Drache Kokosnuss - Hokuspokus! Ingo Siegner,"Siegner, Ingo",0.8904,dnb
Globi - Band 015 - treibt Sport,Robert Lips,9783857030154,Globi treibt Sport,"Schiele, Ignatius Karl",0.8500,dnb
Papa Moll - Band 023 - auf Schatzsuche,Jürg Lendenmann,9783857030086,Papa Moll Bd. 23. Auf Schatzsuche,"Lendenmann, Jürg",0.9654,dnb
Die Olchis finden einen Schatz und andere krötige,Erhard Dietl,9783751203555,Die Olchis finden einen Schatz und andere krötige Abenteuer Erhard Dietl,"Dietl, Erhard",0.8574,dnb
Eine Million Dollar,Carlo Meier,9783906876306,Eine Million Dollar Carlo Meier,"Meier, Carlo",0.8200,dnb
Die wilden Hühner - Fuchsalarm,Cornelia Funke,9783751300704,Die Wilden Hühner - Fuchsalarm Cornelia Funke,"Funke, Cornelia",0.8415,dnb
Die Wilden Hühner,Cornelia Funke,9783751301077,Die Wilden Hühner,"Funke, Cornelia",1.0000,dnb
Das Geheimnis der Oaktree-Farm,Nele Neuhaus,9783522505741,Das Geheimnis der Oaktree-Farm Nele Neuhaus,"Neuhaus, Nele",0.8664,dnb
"Das Band, das uns hält",Kent Haruf,9783257694932,"Das Band, das uns hält Kent Haruf","Haruf, Kent",0.8443,dnb
Vermächtnis der Dunkelheit,Nora Roberts,9783837157246,Vermächtnis der Dunkelheit Nora Roberts,"Roberts, Nora",0.8500,dnb
Lego Ninjago - Die Macht des Spiels,,9783960807520,LEGO Ninjago - die Macht des Spiels,,1.0000,dnb
Die drei !!! - Sushi-Sabotage,Mira Sol,9783440176979,Die drei !!! - Sushi-Sabotage Mira Sol,"Sol, Mira",0.8773,dnb
Die drei !!! - Tatort Tierarztpraxis,Ann-Katrin Heger,9783440176962,Die drei !!! - Tatort Tierarztpraxis Ann-Katrin Heger,"Heger, Ann-Katrin",0.8344,dnb
The Ruby Circle - All unsere Geheimnisse,Jana Hoch,9783401606712,The ruby circle - all unsere Geheimnisse Jana Hoch,"Hoch, Jana",0.9128,dnb
Das leise Platzen unserer Träume,Eva Lohmann,9783961611720,Das leise Platzen unserer Träume Roman Eva Lohmann,"Lohmann, Eva",0.8354,dnb
So weit der Fluss uns trägt,Shelley Read,9783844548891,So weit der Fluss uns trägt Shelley Read,"Read, Shelley",0.8545,dnb
Kommissar Jennerwein darf nicht sterben,Jörg Maurer,9783596707102,Kommissar Jennerwein darf nicht sterben Roman Jörg Maurer,"Maurer, Jörg",0.8594,dnb
Fräulein Gold - Band 6 - Die Lichter der Stadt,Anne Stern,9783644013360,Fräulein Gold: Die Lichter der Stadt Anne Stern,"Stern, Anne",0.8466,dnb
Vielleicht der schönste Sommer,Eleonore Holmgren,9783742427076,Vielleicht der schönste Sommer Eleonore Holmgren,"Holmgren, Eleonore",0.8269,dnb
Miss Bly und die Wette gegen Jules Verne,Eva-Maria Bast,9783764508159,Miss Bly und die Wette gegen Jules Verne Roman Eva-Maria Bast,"Bast, Eva-Maria",0.8441,dnb
"Und wir tanzen, und wir fallen",Catherine Newman,9783844935486,"Und wir tanzen, und wir fallen Catherine Newman","Newman, Catherine",0.8300,dnb
Für immer ein Teil von dir,Colleen Hoover,9783844930108,Für immer ein Teil von dir Colleen Hoover,"Hoover, Colleen",0.8321,dnb
Lake Paradise – Wo Herzen sich begegnen,Manuela Inusa,9783644011397,Lake Paradise – Wo Herzen sich begegnen Manuela Inusa,"Inusa, Manuela",0.8807,dnb
Mein Lotta-Leben - Band 11 - volle Kanne Koala,Alice Pantermüller,9787201164830,"Mein Lotta-Leben Volle Kanne Koala, chin.","Pantermüller, Alice",0.8796,dnb
Bibi & Tina - der mysteriöse Fremde,Stephan Gürtler,9783570177693,Bibi & Tina - der mysteriöse Fremde Stephan Gürtler,"Gürtler, Stephan",0.8462,dnb
"King-Kong, das Fußballschwein",Kirsten Boie,9783960524328,"King-Kong, das Fußballschwein Kirsten Boie","Boie, Kirsten",0.8587,dnb
Die Hafenärztin - Ein Leben für die Hoffnung der,Henrike Engel,9783864932144,Die Hafenärztin - ein Leben für die Hoffnung der Menschen Roman Henrike Engel,"Engel, Henrike",0.8202,dnb
Die schönsten Erstlesegeschichten für clevere Jungs,,9783811232419,Die schönsten Erstlesegeschichten für clevere Jungs,,1.0000,dnb
Ich geh doch nicht mit jedem mit!,Dagmar Geisler,9789937737449,[Ich geh doch nicht mit jedem mit!] [Dagmar Geisler],"Geisler, Dagmar",0.8576,dnb
Das Haus der Wiederkehr,Jojo Moyes,9783644510814,Das Haus der Wiederkehr Jojo Moyes,"Moyes, Jojo",0.8553,dnb
Und Großvater atmete mit den Wellen,Trude Teige,9783732474684,Und Großvater atmete mit den Wellen Trude Teige,"Teige, Trude",0.8902,dnb
Das kleine Haus am Sonnenhang,Alex Capus,9783446279414,Das kleine Haus am Sonnenhang Alex Capus,"Capus, Alex",0.8804,dnb
Die Halbwertszeit von Glück,Louise Pelt,9783754012864,Die Halbwertszeit von Glück Louise Pelt,"Pelt, Louise",0.8636,dnb
Vielleicht die letzte Liebe,Rainer Moritz,9783311151593,Vielleicht die letzte Liebe Rainer Moritz,"Moritz, Rainer",0.8456,dnb
Der heimliche Beobachter,Lisa Unger,9783754010181,Der heimliche Beobachter Lisa Unger,"Unger, Lisa",0.8602,dnb
Die Uhrmacherin – Tage voller Geheimnisse (3),Claudia Dahinden,9783641307479,Die Uhrmacherin – Tage voller Geheimnisse Roman Claudia Dahinden,"Dahinden, Claudia",0.8325,dnb
Hoffnung auf eine glückliche Zukunft,Gaby Hauptmann,9783492064781,Hoffnung auf eine glückliche Zukunft Roman Gaby Hauptmann,"Hauptmann, Gaby",0.8306,dnb
"Ziemlich hohe Berge, mein Dream-Team und ich",Dagmar Hoßfeld,9783551260079,"Ziemlich hohe Berge, mein Dream-Team und ich Dagmar Hoßfeld","Hoßfeld, Dagmar",0.8886,dnb
Die Liebe an miesen Tagen,Ewald Arenz,9783742426642,Die Liebe an miesen Tagen Ewald Arenz,"Arenz, Ewald",0.8548,dnb
Der Wind kennt meinen Namen,Isabel Allende,9783844550245,Der Wind kennt meinen Namen Isabel Allende,"Allende, Isabel",0.8370,dnb
Das Geheimnis der Glasmacherin,Tracy Chevalier,9783989813090,Das Geheimnis der Glasmacherin Tracy Chevalier,"Chevalier, Tracy",0.8421,dnb
Die Frauen jenseits des Flusses,Kristin Hannah,9783757015879,Die Frauen jenseits des Flusses Kristin Hannah,"Hannah, Kristin",0.8539,dnb
Notizen zu einer Hinrichtung,Danya Kukafka,9783742431448,Notizen zu einer Hinrichtung Danya Kukafka,"Kukafka, Danya",0.8500,dnb
Traum vom besseren Leben - Die Frauen vom See,Gaby Hauptmann,9783492065252,Traum vom besseren Leben - die Frauen vom See Roman Gaby Hauptmann,"Hauptmann, Gaby",0.8528,dnb
Zauberhafte Gute-Nacht-Geschichten,Erwin Moser,9783407757203,Zauberhafte Gute-Nacht-Geschichten Erwin Moser,"Moser, Erwin",0.8875,dnb
Lua Luftwurzel - Silberelfen fängt man nicht,Christoph Minnameier,9788997313808,"Lua Luftwurzel - Silberelfen fängt man nicht, koreanisch","Minnameier, Christoph",0.9132,dnb
Eliot und Isabella und die Tiere am Fluss,Ingo Siegner,9783407824462,Eliot und Isabella und die Tiere am Fluss Ingo Siegner,"Siegner, Ingo",0.8974,dnb
Everything we left unsaid,Kathrin Lange,9783401606774,Everything we left unsaid Kathrin Lange,"Lange, Kathrin",0.8359,dnb
Unlock my heart - Golden Heights,Saskia Louis,9783473586646,Unlock my heart - Golden Heights Saskia Louis,"Louis, Saskia",0.8664,dnb
Die wilden Freunde -Bücherhelden -So ein Theater!,André Marx,9783440166352,"Die wilden Freunde, Bücherhelden, So ein Theater! André Marx, Boris Pfeiffer","Marx, André",0.8347,dnb
Fräulein Gold - Band 7- Nacht über der Havel,Anne Stern,9783499015564,Fräulein Gold: Nacht über der Havel Anne Stern,"Stern, Anne",0.8430,dnb
Ein ungezähmtes Tier,Joël Dicker,9783844941562,Ein ungezähmtes Tier Joël Dicker,"Joël Dicker, Joël",0.8269,dnb
Der Club der schlechten Töchter,Vanessa Montfort,9783851796285,Der Club der schlechten Töchter Vanessa Montfort,"Montfort, Vanessa",0.8386,dnb
Middletide – Was die Gezeiten verbergen,Sarah Crouch,9783742434074,Middletide. Was die Gezeiten verbergen Sarah Crouch,"Crouch, Sarah",0.8879,dnb
Die Dämmerung (Art Mayer-Serie 2),Marc Raabe,9783844936964,Die Dämmerung (Art Mayer-Serie 2) Marc Raabe,"Raabe, Marc",0.8870,dnb
Die Frauen von Capri - das Lied vergangener Sommer,Antonia Riepp,9783492063821,Die Frauen von Capri - das Lied vergangener Sommer Roman Antonia Riepp,"Riepp, Antonia",0.8707,dnb
Die Olchis - ein Drachenfest für Feuerstuhl,Erhard Dietl,9783789112805,Die Olchis - ein Drachenfest für Feuerstuhl Erhard Dietl,"Dietl, Erhard",0.8974,dnb
Die Olchis auf Klassenfahrt,Erhard Dietl,9783789110948,Die Olchis auf Klassenfahrt Erhard Dietl,"Dietl, Erhard",0.8545,dnb
Molly und der gefiederte Dieb,Vashti Hardy,9783407813534,Molly und der gefiederte Dieb Vashti Hardy,"Hardy, Vashti",0.8627,dnb
Die drei !!! - Einsatz im Heissluftballon,Kirsten Vogel,9783440179567,Die drei !!! - Einsatz im Heißluftballon Kirsten Vogel,"Vogel, Kirsten",0.8464,dnb
Die schlimmsten Kinder der Welt,David Walliams,9783757100353,Die schlimmsten Kinder der Welt David Walliams,"Walliams, David",0.8539,dnb
The One - Finde dein perfektes Match,John Marrs,9783837149166,The One - Finde dein perfektes Match John Marrs,"Marrs, John",0.8956,dnb
Die Macht der verlorenen Träume,Sarah Beth Durst,9783754008911,Die Macht der verlorenen Träume Sarah Beth Durst,"Durst, Sarah Beth",0.8386,dnb
"Das Haus, in dem das Böse wohnt (2)",Trude Teige,9783841230072,"Das Haus, in dem das Böse wohnt Trude Teige","Teige, Trude",0.8784,dnb
Was man von hier aus sehen kann,Mariana Leky,9783755800736,Was man von hier aus sehen kann Roman Mariana Leky,"Leky, Mariana",0.8241,dnb
Kleines Einhorn Funkelstern - Vorlesegeschichten von,Mila Berg,9783401717838,Kleines Einhorn Funkelstern - Vorlesegeschichten von allerbesten Freunden Mila Berg,"Berg, Mila",0.8225,dnb
Der kleine Drache Kokosnuss und der Schatz im,Ingo Siegner,9783570176986,Der kleine Drache Kokosnuss und der Schatz im Dschungel Ingo Siegner,"Siegner, Ingo",0.8473,dnb
Der kleine Drache Kokosnuss und das Geheimnis der,Ingo Siegner,9783570180006,Der kleine Drache Kokosnuss und das Geheimnis der Mumie Ingo Siegner,"Siegner, Ingo",0.8782,dnb
Ein ganz besonderer Ort,Jojo Moyes,9783644510913,Ein ganz besonderer Ort Jojo Moyes,"Moyes, Jojo",0.8553,dnb
Der Bademeister ohne Himmel,Petra Pellini,9783644021280,Der Bademeister ohne Himmel Petra Pellini,"Pellini, Petra",0.8456,dnb
Woman in Cabin 10,Ruth Ware,9783742405104,Woman in Cabin 10 Ruth Ware,"Ware, Ruth",0.8295,dnb
So weit der Fluss uns trägt,Shelley Read,9783844548891,So weit der Fluss uns trägt Shelley Read,"Read, Shelley",0.8545,dnb
Die Frauen der Familie Flores,Angélica Lopes,9783754021125,Die Frauen der Familie Flores Angélica Lopes,"Lopes, Angélica",0.8459,dnb
Mein Name ist Emilia del Valle,Isabel Allende,9783844554397,Mein Name ist Emilia del Valle Isabel Allende,"Allende, Isabel",0.8500,dnb
Appenzeller Wolfsgeheul,Théo Buff,9783759785916,Appenzeller Wolfsgeheul Théo Buff,"Buff, Théo",0.8661,dnb
Fräulein Gold - Band 8 - Der Preis der Freiheit,Anne Stern,9783644018396,Fräulein Gold: Der Preis der Freiheit 8 Anne Stern,"Stern, Anne",0.8370,dnb
Stonehenge - Die Kathedrale der Zeit,Ken Follett,9783754018521,Stonehenge - Die Kathedrale der Zeit Ken Follett,"Follett, Ken",0.8875,dnb
Der Dorfladen - Wie das Schicksal spielt,Anne Jacobs,9783759900548,Der Dorfladen - Wie das Schicksal spielt Roman Anne Jacobs,"Jacobs, Anne",0.8564,dnb
Im Sturm des Lebens,Nora Roberts,9783985079445,Im Sturm des Lebens,"Roberts, Nora",1.0000,dnb
Die Gärtnerin von Venedig,Jana Revedin,9783992004133,Die Gärtnerin von Venedig Jana Revedin,"Revedin, Jana",0.8452,dnb
Die Töpfchenhexe und die Zauberflöte,Vera Ruoff,9783800016563,Die Töpfchenhexe und die Zauberflöte Vera Ruoff,"Ruoff, Vera",0.9006,dnb
Krippenspiel mit Hund,Kirsten Boie,9783789105463,Krippenspiel mit Hund Kirsten Boie,"Boie, Kirsten",0.8227,dnb
Die Olchis - Olchi-Opas krötigste Abenteuer,Erhard Dietl,9783751203647,Die Olchis - Olchi-Opas krötigste Abenteuer Erhard Dietl,"Dietl, Erhard",0.8974,dnb
Beni und das Weihnachtslicht,Pinkko Vainio,9783314016226,Beni und das Weihnachtslicht Pirkko Vainio,"Vainio, Pirkko",0.8308,dnb
Eine Geburtstagstorte für die Katze,Sven Nordqvist,9783960522157,Eine Geburtstagstorte für die Katze Sven Nordqvist,"Nordqvist, Sven",0.8676,dnb
Mama Muh feiert Weihnachten,Jujja Wieslander,9783960525295,Mama Muh feiert Weihnachten Jujja Wieslander,"Wieslander, Jujja",0.8204,dnb
Die weite Reise der Mauersegler,Anne Möller,9783715206226,Die weite Reise der Mauersegler Anne Möller,"Möller, Anne",0.8784,dnb
Wie Findus zu Pettersson kam,Sven Nordqvist,9783751204859,Wie Findus zu Pettersson kam Sven Nordqvist,"Nordqvist, Sven",0.8415,dnb
Die wunderbare Weihnachtsreise,Lori Evert,9783833736599,Die wunderbare Weihnachtsreise,"Evert, Lori",1.0000,dnb
Max im Krankenhaus,Christian Tielmann,9783867424851,Max im Krankenhaus,"Tielmann, Christian",1.0000,dnb
Ein Jahr mit den Störchen,Thomas Müller,9783836958226,Ein Jahr mit den Störchen Thomas Müller,"Müller, Thomas",0.8359,dnb
Man wird doch wohl Mal wütend werden dürfen,,9783844927917,Man wird doch wohl mal wütend werden dürfen Toon Tellegen,"Tellegen, Toon",0.8600,dnb
Ein Haufen Freunde ganz schön stark!,Kerstin Schoene,9783522460163,Ein Haufen Freunde – ganz schön stark! Kerstin Schoene,"Schoene, Kerstin",0.8605,dnb
Ein wunderbarer Weihnachtswunsch,Lori Evert,9783833736599,Die wunderbare Weihnachtsreise,"Evert, Lori",0.8306,dnb
"Gute Nacht, Fledermaus! Guten Morgen, Eichhorn!",Paul Meisel,9783765558504,"Gute Nacht, Fledermaus! Guten Morgen, Eichhorn! Paul Meisel","Meisel, Paul",0.9082,dnb
"Plitsch, platsch, Entenquatsch!",David Melling,9783789168895,"Plitsch, platsch, Entenquatsch! David Melling","Melling, David",0.8500,dnb
Mein Haus ist zu eng und zu klein,Axel Scheffler,9783939375807,Mein Haus ist zu eng und zu klein,"Donaldson, Julia",1.0000,dnb
Ein Funkeln im Dunkeln,Marie Voigt,9783570176993,Ein Funkeln im Dunkeln Marie Voigt,"Voigt, Marie",0.8393,dnb
Kleiner Drache will der Größte sein,Robert Starling,9783480235551,Kleiner Drache will der Größte sein Robert Starling,"Starling, Robert",0.8605,dnb
Das große Piraten Wimmelbuch,Ali Mitgutsch,9783473436484,Das große Piraten Wimmelbuch Ali Mitgutsch,"Mitgutsch, Ali",0.8500,dnb
Der kleine Bär und das Meer,Tom Percival,9783743204430,Der kleine Bär und das Meer Tom Percival,"Percival, Tom",0.8545,dnb
Die kleine Spinne Widerlich - Besuch beim Doktor,Diana Amft,9783754006221,Die kleine Spinne Widerlich - Besuch beim Doktor Diana Amft,"Amft, Diana",0.9199,dnb
Die kleine Hexe hat Geburtstag,Lieve Baeten,9783751209281,Die kleine Hexe hat Geburtstag Lieve Baeten,"Baeten, Lieve",0.8664,dnb
Mein Wimmelbuch z'Alp,Celine Geser,9783038183365,Mein Wimmelbuch z'Alp Celine Geser,"Geser, Celine",0.8227,dnb
Mama Muh braucht ein Pflaster,Jujja Wieslander,9783960525301,Mama Muh braucht ein Pflaster Jujja Wieslander,"Wieslander, Jujja",0.8300,dnb
Die Olchis feiern Geburtstag,Erhard Dietl,9783960525677,Die Olchis feiern Geburtstag Erhard Dietl,"Dietl, Erhard",0.8587,dnb
Robin und der Ritter Ich-Ich-Ich,Ute Krause,9783570177198,Robin und der Ritter Ich-Ich-Ich Ute Krause,"Krause, Ute",0.8900,dnb
Das schönste Ei der Welt,Helme Heine,9783407760692,Das schönste Ei der Welt Helme Heine,"Heine, Helme",0.8500,dnb
Das Schweiz Wimmelbuch,,9783907340141,Das Schweiz Wimmelbuch,,1.0000,dnb
Die Streithörnchen,Rachel Bright,9783734877117,Die Streithörnchen,"Bright, Rachel",1.0000,dnb
Prinzessin Trülilü auf der Suche nach der Zauberblume,Jacqueline Kauer,9783952391204,Prinzessin Trülilü auf der Suche nach der Zauberblume Jacqueline und Daniel Kauer,"Kauer, Jacqueline",0.8433,dnb
Drei Wünsche für den Hasen,Chris Saunders,9783038762812,Drei Wünsche für den Hasen Chris Saunders,"Saunders, Chris",0.8321,dnb
Kleines Einhorn Funkelstern - Mit dir werden Wünsche,Mila Berg,9783401712970,"Kleines Einhorn Funkelstern - mit dir werden Wünsche wahr Mila Berg, Marina Krämer","Berg, Mila",0.8314,dnb
"101 Monster und alles, was du über sie wissen musst!",Alexandra Helm,9783837398137,"101 Monster und alles, was du über sie wissen musst! Ruby van der Bogen","Ruby van der Bogen, Ruby van der",0.8803,dnb
Gecko und das Glück des Gebens,Rachel Bright,9783734877124,Gecko und das Glück des Gebens,"Bright, Rachel",1.0000,dnb
Pettersson und Findus - mein erstes Uhrenbuch,Sven Nordqvist,9783961291137,Pettersson und Findus - mein erstes Uhrenbuch,"Nordqvist, Sven",1.0000,dnb
Ein neues Haus für Charlie,Doris Lecher,9783407761255,Ein neues Haus für Charlie Doris Lecher,"Lecher, Doris",0.8500,dnb
Betreten der Baustelle verboten,Lorenz Pauli,9783715208640,Betreten der Baustelle verboten Lorenz Pauli,"Pauli, Lorenz",0.8700,dnb
Yuna und die Sache mit dem Mögen,Rebecca Mönch,9783965942493,Yuna und die Sache mit dem Mögen Rebecca Mönch,"Mönch, Rebecca",0.8654,dnb
Tim und Struppi - Band 022 - Tim und die Picaros,Hergé,9783551015228,Tim und Struppi [...] Tim und die Picaros Hergé,Hergé,0.8676,dnb
Tim und Struppi - Band 001 - Tim im Kongo,Hergé,9783551015211,Tim und Struppi [...] Tim im Kongo Hergé,Hergé,0.8415,dnb
Tim und Struppi - Band 016 - Flug 714 nach Sydney,Hergé,9783551015167,Tim und Struppi [...] Flug 714 nach Sydney Hergé,Hergé,0.8707,dnb
Der Richter und sein Henker,Friedrich Dürrenmatt,9783956195068,Der Richter und sein Henker,"Dürrenmatt, Friedrich",1.0000,dnb
Tim und Struppi - Band 002 - Tim in Amerika,Hergé,9783551015198,Tim und Struppi [...] Tim in Amerika Hergé,Hergé,0.8500,dnb
Tim und Struppi - Band 018 - Kohle an Bord,Hergé,9783551015136,Tim und Struppi [...] Kohle an Bord Hergé,Hergé,0.8459,dnb
Tim und Struppi - Band 016 - Schritte auf dem Mond,Hergé,9783551015082,Tim und Struppi [...] Schritte auf dem Mond Hergé,Hergé,0.8736,dnb
Tim und Struppi - Band 009 - Der geheimnisvolle Stern,Hergé,9783551015013,Tim und Struppi [...] Der geheimnisvolle Stern Hergé,Hergé,0.8816,dnb
Tim und Struppi - Band 011 - Der Schatz Rackhams des,Hergé,9783551015129,Tim und Struppi [...] Der Schatz Rackhams des Roten Hergé,Hergé,0.8409,dnb
"Tim und Struppi - Band 010 - Das Geheimnis der ""Einhorn""",Hergé,9783763235629,"Tim und Struppi [...] Das Geheimnis der ""Einhorn"" Hergé",Hergé,0.8840,dnb
Die Schlümpfe - Band 032 - und der verliebte Zauberer,Peyo,9783958398689,Die Schlümpfe 32. Die Schlümpfe und der verliebte Zauberer Peyo,Peyo,0.8311,dnb
Tim und Struppi - Band 013 - Der Sonnentempel,Hergé,9783551015044,Tim und Struppi [...] Der Sonnentempel Hergé,Hergé,0.8576,dnb
Tim und Struppi - Band 023 - Tim und der Haifischsee,Hergé,9783551015303,Tim und Struppi [...] Tim und der Haifischsee Hergé,Hergé,0.8790,dnb
Tim und Struppi - Band 007 - König Ottokars Zepter,Hergé,9783551015020,Tim und Struppi [...] König Ottokars Zepter Hergé,Hergé,0.8736,dnb
Tim und Struppi - Band 003 - Die Zigarren des Pharaos,Hergé,9783551015051,Tim und Struppi [...] Die Zigarren des Pharaos Hergé,Hergé,0.8816,dnb
Tim und Struppi - Band 005 - Der Arumbaya-Fetisch,Hergé,9783551015181,Tim und Struppi [...] Der Arumbaya-Fetisch Hergé,Hergé,0.8707,dnb
Tim und Struppi - Band 006 - Die schwarze Insel,Hergé,9783551029300,Tim und Struppi [...] Die schwarze Insel Hergé,Hergé,0.8645,dnb
Tim und Struppi - Band 012 - Die sieben Kristallkugeln,Hergé,9783551015037,Tim und Struppi [...] Die sieben Kristallkugeln Hergé,Hergé,0.8840,dnb
Kopf hoch! Smartphone ist heilbar,Oli Hilbring,9783830363316,Kopf hoch! Smartphone ist heilbar Oli Hilbring,"Hilbring, Oli",0.8734,dnb
Asterix - Band 001 - Der Gallier,René Goscinny,9783770409006,Asterix der Gallier,"Goscinny, René",0.8564,dnb
