title,author,isbn,matched_title,matched_author,confidence,source
Karlotta verzettelt sich,Claire Singer,9783760790428,Karlotta verzettelt sich Claire Singer,"Singer, Claire",0.8306,dnb
Die Kaminski-Kids - Band 015 - Im Kölner Verlies,Carlo Meier,9783765516146,Die Kaminski-Kids Bd. 15. Im Kölner Verlies Carlo Meier,"Meier, Carlo",0.8840,dnb
Lola in geheimer Mission,Isabel Abedi,9787558302473,"Lola in geheimer Mission, chines.","Abedi, Isabel",0.9045,dnb
Die Kaminski-Kids - Band 016 - Fahrerflucht,Carlo Meier,9783038480174,Die Kaminski-Kids Bd. 16. Fahrerflucht Carlo Meier,"Meier, Carlo",0.8707,dnb
Liliane Susewind - Band 009 - Ein Pinguin will hoch hinaus,Tanya Stewner,9783733607791,Liliane Susewind – Ein Pinguin will hoch hinaus Tanya Stewner,"Stewner, Tanya",0.8473,dnb
Die Kaminski-Kids - Band 005 - Auf der Flucht,Carlo Meier,9783765538254,Die Kaminski-Kids Bd. 5. Auf der Flucht Carlo Meier,"Meier, Carlo",0.8667,dnb
Die Schule der magischen Tiere - Band 002 - Voller,Margit Auer,9783551319562,Die Schule der magischen Tiere,"Auer, Margit",0.8421,dnb
Die List der Wanderhure,Iny Lorentz,9783838774961,Die List der Wanderhure Iny Lorentz,"Lorentz, Iny",0.8448,dnb
Ein Fall für die Kichererbsen,Katja Reider,9783619144815,Ein Fall für die Kichererbsen Katja Reider,"Reider, Katja",0.8627,dnb
"Ferien, Flirten & Flamingos",Jochen Till,9783473525119,"Ferien, Flirten & Flamingos Jochen Till","Till, Jochen",0.8500,dnb
"Komm, lass uns ein Ding drehen!",Armin Kaster,9783834632760,"Komm, lass uns ein Ding drehen! Armin Kaster","Kaster, Armin",0.8627,dnb
Nur ein Hauch von dir,S.C Ransom,9783104020723,Nur ein Hauch von dir S. C. Ransom,"Ransom, Sue C.",0.8216,dnb
Die Neuen passen hier nicht rein!,Armin Kaster,9783834627643,Die Neuen passen hier nicht rein! Armin Kaster,"Kaster, Armin",0.8734,dnb
Liliane Susewind - Ein kleiner Esel kommt gross raus,Tanya Stewner,9783737341189,Liliane Susewind - ein kleiner Esel kommt groß raus,"Stewner, Tanya",0.9847,dnb
Ritter Kuno Kettenstrumpf,Oliver Pötzsch,9783522610490,Ritter Kuno Kettenstrumpf Oliver Pötzsch,"Pötzsch, Oliver",0.8269,dnb
Alea Aquarius - Band 01 - Der Ruf des Wassers,Tanya Stewner,9783789147470,Alea Aquarius 1. Der Ruf des Wassers Tanya Stewner,"Stewner, Tanya",0.8333,dnb
Und plötzlich bist du jemand Anders,Christian Tielmann,9783473524891,Und plötzlich bist du jemand anders Christian Tielmann,"Tielmann, Christian",0.8399,dnb
Mein Lotta-Leben - Band 08 - Kein Drama ohne Lama,Alice Pantermüller,9787201164830,"Mein Lotta-Leben Kein Drama ohne Lama, chin.","Pantermüller, Alice",0.8879,dnb
Alfie Bloom - Band 01 - Das Geheimnis der Drachenburg,Gabrielle Kent,9783505137150,Alfie Bloom Bd. 1. Das Geheimnis der Drachenburg Gabrielle Kent,"Kent, Gabrielle",0.8773,dnb
Ich weiss alles über dich,Thomas Feibel,9783551314567,Ich weiss alles über dich Thomas Feibel,"Feibel, Thomas",0.8359,dnb
Jetzt trägt sie auch noch Kopftuch,Friederike Schmoe,9783834632753,Jetzt trägt sie auch noch Kopftuch! Friederike Schmöe,"Schmöe, Friederike",0.8430,dnb
Geheimnisse vom Mädchenklo,Rose Cooper,9783732524044,Geheimnisse vom Mädchenklo Rose Cooper,"Cooper, Rose",0.8594,dnb
Mein Lotta-Leben - Band 09 - Das reinste Katzentheater,Alice Pantermüller,9787201164830,"Mein Lotta-Leben Das reinste Katzentheater, chin.","Pantermüller, Alice",0.8995,dnb
Das Joshua Profil,Sebastian Fitzek,9783785753323,Das Joshua-Profil Fitzek,"Jäger, Simon",0.8720,dnb
Tödliche Nachbarschaft,Viveca Sten,9783462315745,Tödliche Nachbarschaft Viveca Sten,"Sten, Viveca",0.8393,dnb
Das grosse Rennen um den Pokal,THiLO,9783619144228,Das große Rennen um den Pokal THiLO,THiLO,0.8962,dnb
"Der fabelhafte Regenschirm, Die verrückte Stadt",Sarah Storm,9783731395164,Der fabelhafte Regenschirm. Die verrückte Stadt Folge 1 Sarah Storm,"Storm, Sarah",0.8661,dnb
