title,author,isbn,isbn_type,matched_title,matched_author,genre,short_description,cover_url,google_id,status,from_cache
Igraine Ohnefurcht,Cornelia Funke,9783862722884,ISBN_13,Igraine Ohnefurcht,Cornelia Funke,Juvenile Fiction,"Nach dem großen Erfolg ihres Märchenromans DRACHENREITER nun eine witzige Ritter- und Zaubergeschichte im unverwechselbaren, packenden Funke-Stil und mit stimmungsvollen Illustrationen der Autorin. Auf Burg Bibernell ist wirklich was los! Jeder Stein hat sein Geheimnis, und selbst der Burggraben birgt mehr als nur Was...",https://books.google.com/books/content?id=u9QuCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,u9QuCwAAQBAJ,found,false
Die Dreierbande und der verdächtige Fotograf,"Hermien Stellmacher, Joachim Schultz",9783522300841,ISBN_13,Die Dreierbande und der verdächtige Fotograf,"Hermien Stellmacher, Joachim Schultz",,,https://books.google.com/books/content?id=NzEtAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,NzEtAAAACAAJ,found,false
Fette Fische,Cornelia Witzmann,9783464605721,ISBN_13,Fette Fische,Cornelia Witzmann,,,https://books.google.com/books/content?id=IN7bAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,IN7bAAAACAAJ,found,false
Emma traut sich was,Maja von Vogel,9783781722262,ISBN_13,Emma traut sich was,Maja von Vogel,,"Neues von Emma, die dank Omas Hilfe alle Montags-Katastrophen in Familie, Wohngemeinschaft, Schule und erster Liebe bewältigt. Ab 11.",https://books.google.com/books/content?id=UhAIPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UhAIPQAACAAJ,found,false
Für alle Fälle Emma,Maja von Vogel,9783841500489,ISBN_13,Für alle Fälle Emma,Maja von Vogel,,,https://books.google.com/books/content?id=yeZcMwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,yeZcMwEACAAJ,found,false
Nikolausgeschichten,Elisabeth Zöller,9783785557389,ISBN_13,Nikolausgeschichten,Elisabeth Zöller,,,https://books.google.com/books/content?id=eodnPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,eodnPQAACAAJ,found,false
Der kleine Drache Kokosnuss - und die starken Wikinger -,Ingo Siegner,9783570137048,ISBN_13,Der kleine Drache Kokosnuss und die starken Wikinger,Ingo Siegner,,"Kokosnuss und seine Freunde treffen einen einsamen Wikinger. Gudröd wurde von den anderen verstossen, weil er angeblich das Trinkhorn des Anführers gestohlen hat. Natürlich will Kokosnuss seine Unschuld beweisen. So stechen sie mit einem selbst gebauten Boot in See und suchen die Wikinger. Ab 7.",https://books.google.com/books/content?id=033QRwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,033QRwAACAAJ,found,false
Fussballfieber - Spannende Kickergeschichten,Fabian Lenk,9783473364770,ISBN_13,Fußballfieber,Fabian Lenk,,,https://books.google.com/books/content?id=CHY6jgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,CHY6jgEACAAJ,found,false
Klassenreise an die See,Heike Wiechmann,9783473477449,ISBN_13,Leserabe: Klassenreise an die See,Heike Wiechmann,,,,bXoqswEACAAJ,found,false
Liliane Susewind - Ein Nilpferd auf dem Zebrastreifen -,Tanya Stewner,9783733601447,ISBN_13,Liliane Susewind – Ein Nilpferd auf dem Zebrastreifen,Tanya Stewner,Juvenile Fiction,"Immer lustig, immer spannend: Liliane Susewinds Abenteuer für die jüngsten Fans! Von Bestsellerautorin Tanya Stewner – mit großer Fibelschrift und fröhlich-bunten Bildern Lilli kann mit Tieren sprechen! Und das ist gut so, denn im Zoo wird ihre Hilfe dringend gebraucht: Sie soll herausfinden, warum das kleine Nilpferd...",https://books.google.com/books/content?id=uqneCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,uqneCgAAQBAJ,found,false
