title,author,isbn,isbn_type,matched_title,matched_author,genre,short_description,cover_url,google_id,status,from_cache
Der kleine Ritter Trenk,Kirsten Boie,9783862740727,ISBN_13,Der kleine Ritter Trenk,Kirsten Boie,Juvenile Fiction,"Auf ins Leseabenteuer! Mit Ritterglück und Drachenmut Leibeigen geboren, leibeigen gestorben, leibeigen ein Leben lang - ja, so heißt es wohl! Aber ist es nicht schrecklich ungerecht, das alle Bauern ihrem Ritter gehören und kein bisschen sich selbst? Das findet jedenfalls der Bauernjunge Trenk. Er will es einmal bess...",https://books.google.com/books/content?id=r5qkBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,r5qkBwAAQBAJ,found,false
Aschenputtel,Kristina Ohlsson,9783641064082,ISBN_13,Aschenputtel,Kristina Ohlsson,Fiction,"Der Start der packenden Bestsellerreihe aus Schweden: »Wer auf klassische skandinavische Krimis steht, macht mit diesem Buch alles richtig.« NDR Info Hochsommer in Schweden. Es regnet Bindfäden. Der voll besetzte Schnellzug nach Stockholm muss außerplanmäßig halten. Eine junge Frau tritt hinaus aufs Bahngleis, um unge...",https://books.google.com/books/content?id=sStJI2S_ZGMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,sStJI2S_ZGMC,found,false
"Seekers, Die Suche beginnt",Erin Hunter,9783407811042,ISBN_13,Seekers - Die Suche beginnt,Erin Hunter,Juvenile Fiction,"»Ich werde tun, was du gesagt hast, und zu dem Ort des endlosen Eises gehen. Und vielleicht, wenn das wirklich der Ort ist, an dem die Seelen tanzen, werde ich auch dich dort finden.« Hoch im Norden Amerikas machen sich drei junge Bären, jeder auf sich gestellt, auf eine außergewöhnliche Reise. Lusa, die kleine Schwar...",https://books.google.com/books/content?id=r0XzwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,r0XzwAEACAAJ,found,false
Wir Kinder vom Bahnhof Zoo,Christiane F. (psevd. for Vera Christiane Felsherinow),9788203123801,ISBN_13,Wir kinder vom Bahnhof Zoo,Christiane F. (psevd. for Vera Christiane Felsherinow),,,,W52xtQEACAAJ,found,false
Dork Diaries - Band 03 - Nikkis phänomenaler Auftritt,Rachel Renée Russell,9783505128622,ISBN_13,"DORK Diaries, Band 03",Rachel Renée Russell,Juvenile Fiction,"Die erste Regel für echte DORKs: kaum aus einem Schlamassel heraus, möglichst unverzüglich ins nächste Fettnäpfchen treten. Und niemand beherzigt diese Regel so gewissenhaft wie Nikki. Als sie bei einem Familienausflug mit ihrer kleinen Schwester auf der Karaokebühne landet, befindet sich ausgerechnet MacKenzie – abso...",https://books.google.com/books/content?id=0aOxpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0aOxpwAACAAJ,found,false
Das mit mir und Romeo,Dagmar Chidolue,9783104017518,ISBN_13,Das mit mir und Romeo,Dagmar Chidolue,Juvenile Fiction,"Eine süße Freundschaftsgeschichte über zwei, die sich am Anfang nocht nicht einmal ansehen wollen, für Mädchen ab 10 Das hat Julia gerade noch gefehlt: Ihre neue Klasse bricht in johlendes Gelächter aus, als die Lehrerin sie mit Namen vorstellt, denn es gibt einen Schüler, der Romeo heißt. Na toll! Reicht es denn etwa...",https://books.google.com/books/content?id=fU9tAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,fU9tAgAAQBAJ,found,false
Störenfrieda - Lauter Krachgeschichten,Jana Frey,9783401508412,ISBN_13,Störenfrieda 01. Lauter Krachgeschichten,Jana Frey,,,https://books.google.com/books/content?id=VKkAjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,VKkAjwEACAAJ,found,false
3 Rittergeschichten,Patricia Schröder,9783570154809,ISBN_13,Drei Rittergeschichten,Patricia Schröder,,"Drei abenteuerliche Rittergeschichten in einem Band. Ritter Fürchtemich schickt seine beiden Söhne hinaus in die Welt, ein echtes Drachenabenteuer zu bestehen, Geisterritter Gustav versucht kettenrasselnd seine Burg zu retten und Knappe Julius kämpft gegen einen Bären ... Ritter haben's wirklich nicht leicht! Patricia...",https://books.google.com/books/content?id=V3_WuQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,V3_WuQAACAAJ,found,false
Sherlock Holmes Academy,Holly Watson,9783522503167,ISBN_13,Die Sherlock-Holmes-Academy,Holly Watson,Boarding schools,Trudy and her new friend Marlene start to crack codes and learn to be detectives in the boarding school with other boys and girls in the Scottish moor.,https://books.google.com/books/content?id=0umapwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0umapwAACAAJ,found,false
Wie viele Level hat dein Leben?,Karolina Fell,9783473981250,ISBN_13,"Werner Färber, Wie viele Level hat dein Leben?",Karolina Fell,,,https://books.google.com/books/content?id=tIrOuQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,tIrOuQAACAAJ,found,false
Verletzt,Stella Negri,9783834606488,ISBN_13,Verletzt,Stella Negri,,,https://books.google.com/books/content?id=IqcmQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,IqcmQwAACAAJ,found,false
"Rick 1, Wie man seine durchgeknallte Familie überlebt",Antje Szillat,9783551313430,ISBN_13,Rick 01: Wie man seine durchgeknallte Familie überlebt,Antje Szillat,,,https://books.google.com/books/content?id=kQGRoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,kQGRoAEACAAJ,found,false
Papa auf der Spur,Katrin Stehle,9783522303156,ISBN_13,Papa auf der Spur,Katrin Stehle,,,https://books.google.com/books/content?id=ITX2ugAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,ITX2ugAACAAJ,found,false
"codewort 007 , Alarm im Advent",Antonia Michaelis,9783789142673,ISBN_13,Codewort 007 - Alarm im Advent,Antonia Michaelis,,,https://books.google.com/books/content?id=4mTnuQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4mTnuQAACAAJ,found,false
Tausendschön,Kristina Ohlsson,9783641080402,ISBN_13,Tausendschön,Kristina Ohlsson,Fiction,"Komplex, intelligent und überraschend! Der zweite Fall für die schwedische Ermittlerin Fredrika Bergman. Ein junges Mädchen wird am Mittsommerabend überfallen und vergewaltigt. Fünfzehn Jahre später stirbt ein Mann bei einem Unfall mit Fahrerflucht, doch niemand scheint ihn zu vermissen. Zeitgleich begehen ein Pfarrer...",https://books.google.com/books/content?id=3O3uCtariQoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3O3uCtariQoC,found,false
Die Kastellanin,Iny Lorentz,9783426554692,ISBN_13,Die Kastellanin,Iny Lorentz,Fiction,"Sinnlich, lebensfroh und voller dramatischer Verwicklungen - die spannende Fortsetzung der »Wanderhure« von Iny Lorentz Marie und ihr Ehemann Michel Adler leben glücklich und voller Liebe zusammen. Ihr Glück scheint vollkommen, als sie ein Kind erwartet. Doch dann muss Michel in den Kampf gegen die aufständischen Huss...",https://books.google.com/books/content?id=lS9sAgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,lS9sAgAAQBAJ,found,false
Die Tochter der Wanderhure,Iny Lorentz,9783426554708,ISBN_13,Die Tochter der Wanderhure,Iny Lorentz,Fiction,"Ein neues Kapitel in der historischen Saga um die Wanderhure Marie und ihre Familie Mehr als zwölf Jahre sind vergangen, seit Marie ihre letzten Abenteuer bestehen musste. Glücklich und zufrieden lebt sie mit ihrem Mann auf Burg Kibitzstein – bis ihr Gönner, der Würzburger Fürstbischof, stirbt: Seinem Nachfolger sind...",https://books.google.com/books/content?id=nAZuAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,nAZuAgAAQBAJ,found,false
Töchter der Sünde,Iny Lorentz,9783426662458,ISBN_13,Töchter der Sünde,Iny Lorentz,,Een jonge edelman die in 1450 een jonge abdis naar Rome moet begeleiden speelt ongeweten een rol in de machtsstrijd tussen de Duitse keizer Frederik III en paus Nicolaas V.,https://books.google.com/books/content?id=yJKwpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,yJKwpwAACAAJ,found,false
Dolphin Rider,Markus Bennemann,9783522620741,ISBN_13,Dolphin Rider,Markus Bennemann,Juvenile Fiction,"Robbys ganze Leidenschaft gilt dem Surfen, und weil er zu den besten gehört, fehlt es nie an Bewunderern. Doch was sich dann am Strand von Sylt ereignet, ist einzigartig: Ein Delfin taucht auf und genießt zusammen mit dem jungen Surfer das ungestüme Spiel der Wellen. Und mehr: Das Tier lässt zu, dass Robby auf seinem...",https://books.google.com/books/content?id=BQkcAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,BQkcAwAAQBAJ,found,false
Eine zweite Chance,Karin Alvtegen,9783442753376,ISBN_13,Eine zweite Chance,Karin Alvtegen,,"Die 45-jährige Helena zieht von Stockholm nach Norrland und eröffnet ein Hotel. Als ihr Mann sie verlässt, liegt alles in Scherben. Anders Strandberg ist finanziell unabhängig, doch das Leben kann er nicht geniessen. Schliesslich führt ihn das Schicksal im Helenas kleines Hotel.",https://books.google.com/books/content?id=IOaxNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,IOaxNAEACAAJ,found,false
Kleiner Hund in grosser Gefahr,Bengt Birck,9783785572153,ISBN_13,Lesepiraten - Kleiner Hund in großer Gefahr,Bengt Birck,,,https://books.google.com/books/content?id=wCjNlgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wCjNlgEACAAJ,found,false
"Mein Freund, der Orca",Annette Moser,9783785574355,ISBN_13,"Mein Freund, der Orca",Annette Moser,,"Wie unheimlich! Erst verfolgen Alex und Oliver mit ihrem Ruderboot ein verdächtiges Schiff, dann werden sie von einem Seeungeheuer angegriffen! Der Beginn eines spannenden Abenteuers, an dessen Ende die Freunde sogar einen Orca aus der Gefangenschaft befreien können! Zum Vor- und Selberlesen ab 6.",https://books.google.com/books/content?id=2K9pkQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2K9pkQEACAAJ,found,false
Störenfrieda und der Rückwärtsflohmarkt,Jana Frey,9783401066394,ISBN_13,Störenfrieda und der Rückwärtsflohmarkt,Jana Frey,Girls,"Viel Aufregung für die Grossfamilie der 7-jährigen, kessen Frieda. 10 neue Episoden erzählen z.B. von Friedas Flohmarktverkauf von nur scheinbar Überflüssigem oder dem Überlisten des verhassten Babysitters. Frech-witziger Spass zum Vorlesen ab 6 oder für fortgeschrittene Leseanfänger ab 8.",https://books.google.com/books/content?id=WKG4pwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,WKG4pwAACAAJ,found,false
Störenfrieda auf Hängebauchschweinsafari,Jana Frey,9783401067056,ISBN_13,Störenfrieda auf Hängebauchschweinsafari,Jana Frey,Girls,"ÄStörenfriedaä wird die 7-jährige kesse Frieda genannt, die in 10 neuen Episoden mit ihren Ideen ihre Grossfamilie, den knurrigen Nachbarn und alle anderen auf Trab hält. Ein turbulenter Spass zum Vorlesen ab 6 oder für fortgeschrittene Leseanfänger ab 8.",,0wLKMgEACAAJ,found,false
Störenfrieda und der Glitzerclub,Jana Frey,9783401067407,ISBN_13,Störenfrieda und der Glitzerclub,Jana Frey,,,https://books.google.com/books/content?id=G-LRMgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,G-LRMgEACAAJ,found,false
Zombie-Alarm,Ben Nevis,9783440136997,ISBN_13,"Die drei ??? Kids, Band 54, Zombie-Alarm (drei Fragezeichen Kids)",Ben Nevis,Juvenile Fiction,"Plötzlich erklang über ihnen ein lang gezogener Schrei. Den drei ??? fuhr der Schreck in die Glieder. Bob ließ fast das Papier fallen. ""Das kommt von Deck!"" rief Peter. ""Lasst uns lieber abhauen!"" Bei einem alten Schiffswrack finden die drei ??? eine geheimnisvolle Flaschenpost. Sie stammt von einem Schiffbrüchigen, d...",https://books.google.com/books/content?id=LI7hBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,LI7hBgAAQBAJ,found,false
Der schwarze Joker,Boris Pfeiffer,9783440137000,ISBN_13,"Die drei ??? Kids, Band 55, Der schwarze Joker (drei Fragezeichen Kids)",Boris Pfeiffer,Juvenile Fiction,"Peter biss sich auf die Lippen. ""Freunde!"", flüsterte er. ""Ich glaube zwar nicht an Geister, aber das hier klingt wirklich unheimlich. Könnte es sein, dass in Rocky Beach ein Geist umgeht, der sich 'Der schwarze Joker' nennt?"" Eine unheimliche Gestalt spielt den Bewohnern von Rocky Beach böse Streiche! Als auch noch T...",https://books.google.com/books/content?id=vY3hBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,vY3hBgAAQBAJ,found,false
Michel und Klein-Ida aus Lönneberga,Astrid Lindgren,9783789141553,ISBN_13,Michel und Klein-Ida aus Lönneberga,,,"Unfug denkt man sich nicht aus, Unfug wird von ganz allein: Die drei Geschichten handeln in Lönneberga auf Katthult. Kenner wissen, dass auf diesem Bauernhof Michel und die kleine Ida mit ihren Eltern wohnen. Und dass im kühlen Schweden solch turbulente Geschichten passieren, das würde man kaum glauben. Was immer der...",https://books.google.com/books/content?id=sO4jp1Q03WIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,sO4jp1Q03WIC,found,false
Tschick,Werner Kramper,9783849009045,ISBN_13,Interpretationshilfe Deutsch: WOLFGANG HERRNDORF: Tschick,Werner Kramper,,,https://books.google.com/books/content?id=6_vGrQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,6_vGrQEACAAJ,found,false
Bretonische Verhältnisse,Jean-Luc Bannalec,9783462305289,ISBN_13,Bretonische Verhältnisse,Jean-Luc Bannalec,Fiction,"Ein mysteriöser Mord in der idyllischen Bretagne – Kommissar Dupin ermittelt in seinem ersten Fall voller Geheimnisse und Überraschungen! In Bretonische Verhältnisse, dem ersten Band der Krimi-Reihe von Jean-Luc Bannalec, wird der hochbetagte Inhaber des legendären Hotels Central in Pont Aven brutal erstochen. Kommiss...",https://books.google.com/books/content?id=G_RlAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,G_RlAgAAQBAJ,found,false
das Buch aus Atlantis,Thomas Brezina,9783505131608,ISBN_13,"Ein Fall für dich und das Tiger-Team, Band 50",Thomas Brezina,,,https://books.google.com/books/content?id=XkSuNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,XkSuNAEACAAJ,found,false
Verschwörung am Höllenstein,Thomas Brezina,9783505111594,ISBN_13,Verschwörung am Höllenstein,Thomas Brezina,,,https://books.google.com/books/content?id=xI8OPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,xI8OPQAACAAJ,found,false
Tiger-Team - das verbotene LABOR,Thomas Brezina,9783505130335,ISBN_13,Ein Fall für dich und das Tiger-Team,Thomas Brezina,,,https://books.google.com/books/content?id=QWrTNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,QWrTNAEACAAJ,found,false
Die drei ??? Kids - Das Rätsel der Könige,Ulf Blanck,9783551315045,ISBN_13,Die drei ??? Kids: Das Rätsel der Könige,Ulf Blanck,Juvenile Fiction,,https://books.google.com/books/content?id=0YzdjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0YzdjgEACAAJ,found,false
Die drei ??? Kids - Der Weihnachtsdieb,"Boris Pfeiffer, Ulf Blanck",9783440505359,ISBN_13,"Die drei ??? Kids, 57, Der Weihnachtsdieb (drei Fragezeichen Kids)","Boris Pfeiffer, Ulf Blanck",Juvenile Fiction,"Justus, Peter und Bob sind beste Freunde und Detektive! Zusammen haben die drei ??? schon viele knifflige Fälle gelöst. Ganz Rocky Beach ist in Weihnachtsstimmung. Der Baum ist geschmückt und Justus, Peter und Bob können die Bescherung kaum noch erwarten. Doch plötzlich verschwinden die Geschenke! Die drei ??? Kids si...",https://books.google.com/books/content?id=2vVyEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2vVyEAAAQBAJ,found,false
Delfine,Bettina Obrecht,9783641122102,ISBN_13,"Erst ich ein Stück, dann du - Delfine",Bettina Obrecht,Juvenile Fiction,"Wenn das Lesen für Leseanfänger noch mühsam ist, heißt es in vielen Familien: »Lass uns gemeinsam lesen. Erst ich ein Stück, dann du. Wir wechseln uns ab.« Deswegen ist unsere beliebte Erstleser-Reihe »Erst ich ein Stück, dann du« speziell für das gemeinsame Lesen konzipiert: * Leseabschnitte für die erfahrenen Vorles...",https://books.google.com/books/content?id=3Y8bAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3Y8bAAAAQBAJ,found,false
Eisiger Dienstag,Nicci French,9783641094188,ISBN_13,Eisiger Dienstag,Nicci French,Fiction,"Bei einer Routinekontrolle macht eine Sozialarbeiterin in der Wohnung der psychisch kranken Michelle Doyce einen grausamen Fund: Auf dem Sofa sitzt ein nackter Mann, der offensichtlich schon seit Tagen tot ist. Doch aus Michelle sind keine zusammenhängenden Sätze herauszubekommen. Hat sie den Mann getötet? Frustriert...",https://books.google.com/books/content?id=5jJZPiQPEEsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,5jJZPiQPEEsC,found,false
Bretonische Brandung,Jean-Luc Bannalec,9783462306934,ISBN_13,Bretonische Brandung,Jean-Luc Bannalec,Fiction,"Ein raffinierter Krimi voller verblüffender Wendungen, feinsinnigem Humor und der atemberaubenden Schönheit der Glénan-Inseln - Kommissar Dupins zweiter Fall führt ihn in ein gefährliches Labyrinth von Verstrickungen. Zehn Seemeilen vor Concarneau an der bretonischen Küste: Die sagenumwobenen Glénan-Inseln wirken mit...",https://books.google.com/books/content?id=K1BmAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,K1BmAgAAQBAJ,found,false
Vollendet,Neal Shusterman,9783733600020,ISBN_13,Vollendet,Neal Shusterman,Juvenile Fiction,"Jeder hat das Recht zu leben - bis zu seinem 13. Geburtstag ... Der 16-jährige Connor hat ständig Ärger. Risa lebt in einem überfüllten Waisenhaus. Lev ist das wohlbehütete Kind strenggläubiger Eltern. So unterschiedlich die drei auch sind, eines haben sie gemeinsam: Sie sind auf der Flucht. Vor einem Staat, in dem El...",https://books.google.com/books/content?id=MUhvAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,MUhvAgAAQBAJ,found,false
Anne Frank das Tagebuch,"Anne Frank, Annelies Marie Frank",9783869926506,ISBN_13,Anne Frank,"Anne Frank, Annelies Marie Frank",Biography & Autobiography,"Das Tagebuch der Anne Frank hier in neuer Übersetzung ins Deutsche: Annelies Marie Frank, ""Anne"", wurde in Frankfurt am Main geboren. Als sie viereinhalb Jahre alt war, zog ihre Familie 1934 in die Niederlande, nachdem Adolf Hitler und die Nazipartei die Kontrolle über Deutschland übernommen hatten. Sie verbrachte die...",https://books.google.com/books/content?id=TnqwEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,TnqwEAAAQBAJ,found,false
Frostglut,Jennifer Estep,9783492963732,ISBN_13,Frostglut,Jennifer Estep,Fiction,"Gwen ist am Ziel ihrer Träume angelangt: Endlich hat sie ein richtiges Date mit dem Spartaner Logan. Doch dann macht ihr ausgerechnet dessen Vater einen Strich durch die Rechnung. Er verhaftet Gwen und klagt sie an, mit dem Gott Loki im Bunde zu stehen und ihm die Flucht ermöglicht zu haben. Nun droht ihr nicht nur Ar...",https://books.google.com/books/content?id=lwwVAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,lwwVAwAAQBAJ,found,false
"Ich, Lilly und der Rest der Welt",Alexandra Maxeiner,9783551315137,ISBN_13,"Ich, Lilly und der Rest der Welt",Alexandra Maxeiner,Juvenile Fiction,,https://books.google.com/books/content?id=EuDrjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,EuDrjgEACAAJ,found,false
Piratten; Die Schatzinsel,Michael Peinkofer,9783551650757,ISBN_13,Piratten!,Michael Peinkofer,,,https://books.google.com/books/content?id=w2X3ZwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,w2X3ZwEACAAJ,found,false
"Seekers, Feuer im Himmel",Erin Hunter,9783407746559,ISBN_13,Seekers 05. Feuer im Himmel,Erin Hunter,,,https://books.google.com/books/content?id=nsPIjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,nsPIjgEACAAJ,found,false
Der Kuss der Göttin,Aprilynne Pike,9783641108588,ISBN_13,Der Kuss der Göttin,Aprilynne Pike,Young Adult Fiction,"Liebe, Schicksal und göttliche Macht Die 17-jährige Tavia ist ein Wunder: Sie hat als Einzige einen Flugzeugabsturz überlebt. Doch plötzlich hat sie Visionen von einem seltsam altertümlich wirkenden Jungen, der sie vor einer großen Gefahr warnt. Und bald wird sie von mysteriösen Männern verfolgt. Tavia flieht gemeinsa...",https://books.google.com/books/content?id=FS5AAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,FS5AAAAAQBAJ,found,false
Traumsammler,Khaled Hosseini,9783104028453,ISBN_13,Traumsammler,Khaled Hosseini,Fiction,"Der Nr.1-Spiegel-Bestseller! Millionen Leser haben auf seinen neuen Roman gewartet: In ›Traumsammler‹ erzählt Khaled Hosseini die bewegende Geschichte zweier Geschwister aus einem kleinen afghanischen Dorf. Pari ist drei Jahre alt, ihr Bruder Abdullah zehn, als der Vater sie auf einem Fußmarsch quer durch die Wüste na...",https://books.google.com/books/content?id=cApsAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,cApsAgAAQBAJ,found,false
Die Olchis - werden Fussballmeister,Erhard Dietl,9783789106835,ISBN_13,Die Olchis werden Fussballmeister,Erhard Dietl,,,https://books.google.com/books/content?id=Qf3QQwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Qf3QQwAACAAJ,found,false
Als der Weihnachtsmann vom Himmel fiel,Cornelia Funke,9783791504872,ISBN_13,Als der Weihnachtsmann vom Himmel fiel,Cornelia Funke,,,https://books.google.com/books/content?id=qPn1ZwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,qPn1ZwEACAAJ,found,false
Der Hof,Simon Beckett,9783644216419,ISBN_13,Der Hof,Simon Beckett,Fiction,"Bestsellerautor Simon Beckett von seiner besten Seite: Psychologische Hochspannung der Meisterklasse! Ein abgelegener, heruntergekommener Hof in Südfrankreich. Es ist brütend heiß. Fliegen umschwirren die grunzenden, halbwilden Schweine, die im Dreck nach Futter stöbern. In der baufälligen Scheune liegt der junge Engl...",https://books.google.com/books/content?id=_xSZAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,_xSZAgAAQBAJ,found,false
Noah,Sebastian Fitzek,9788490198391,ISBN_13,Noah,Sebastian Fitzek,Fiction,"El autor del best seller Terapia vuelve a electrizar a los lectores con una trama arrolladora. Él no recuerda su propio nombre. No sabe de dónde proviene. No logra recordar cómo llegó a Berlín y cuánto hace que vive en la calle. Los sin techo con los que vagabundea por la ciudad lo llaman Noah, porque lleva ese nombre...",https://books.google.com/books/content?id=Du8tBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Du8tBAAAQBAJ,found,false
Dork Diaries - Nikki als graziöse Eisprinzessin,Rachel Renée Russell,9783505128639,ISBN_13,"DORK Diaries, Band 04",Rachel Renée Russell,Juvenile Fiction,Zusammen mit ihrem Schwarm Brandon und ihren zwei allerbesten Freundinnen will Nikki das örtliche Tierheim retten. Dafür wagt sie sich sogar buchstäblich aufs Glatteis!,https://books.google.com/books/content?id=KfLnuQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,KfLnuQAACAAJ,found,false
Dork Diaries - Band 01- Nikkis fabelhafte Welt,Rachel Renée Russell,9783505131165,ISBN_13,"DORK Diaries, Band 01",Rachel Renée Russell,Juvenile Fiction,"Neue Schule. Neue fiese Zicke. Neuer Schwarm. Neues Tagebuch ..., damit Nikki den ganzen Kram mal loswerden kann ...",https://books.google.com/books/content?id=cdp-EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,cdp-EAAAQBAJ,found,false
Dork diaries - Nikkis glamouröses Partyleben,Rachel Renée Russell,9783505131257,ISBN_13,"DORK Diaries, Band 05",Rachel Renée Russell,Juvenile Fiction,Eigentlich wollte Nikki als knallharte Journalistin für die Schülerzeitung „skandalöse Zustände“ und „hochbrisante Tatsachen“ aufdecken. Doch dank ihrer Erzfeindin MacKenzie landet sie stattdessen in der Ratgeberkolumne! Und damit ist das Chaos natürlich vorprogrammiert ...,https://books.google.com/books/content?id=FC6yNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,FC6yNAEACAAJ,found,false
Dork diaries - Nikkis guter Rat in allen Lebenslagen,Rachel Renée Russell,9783505131868,ISBN_13,"DORK Diaries, Band 05",Rachel Renée Russell,Juvenile Fiction,"Eigentlich wollte Nikki als knallharte Journalistin für die Schülerzeitung ""skandalöse Zustände"" und ""hochbrisante Tatsachen"" aufdecken. Doch dank ihrer Erzfeindin MacKenzie landet sie stattdessen in der Ratgeberkolumne! Und damit ist das Chaos natürlich vorprogrammiert ...",https://books.google.com/books/content?id=c9p-EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,c9p-EAAAQBAJ,found,false
KATZENGESCHICHTEN,Marlene Jablonski,9783743204515,ISBN_13,Silbengeschichten zum Lesenlernen - Katzengeschichten,Marlene Jablonski,,,,RsxVxQEACAAJ,found,false
Im Tempel des Bösen,Christian Tielmann,9783732012671,ISBN_13,R.O.M. (Band 3) - Im Tempel des Bösen,Christian Tielmann,Juvenile Fiction,"Drei Freunde. Unheimliche Geschehnisse. R.O.M. In Rom geschehen unheimliche Einbrüche: Immer nachts. Immer übers Dach. Immer trifft es Unschuldige. Meander und Olivia beschleicht ein schlimmer Verdacht. Steckt ihr Freund Remus dahinter, der sich immer merkwürdiger verhält? Oder vielleicht der unheimliche Gott, dem Rem...",https://books.google.com/books/content?id=3Xp3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,3Xp3DwAAQBAJ,found,false
5 Sterne für Lola,Isabel Abedi,9783732004157,ISBN_13,5 Sterne für Lola (Band 8),Isabel Abedi,Juvenile Fiction,"In Lolas Leben wimmelt es vor Krisen. Mama hat eine Baby-Krise. Tante Lisbeth hat eine Verlobungs-Krise. Und Lolas beste Freundin Flo hat eine Enzo-Krise. (Das ist eine Krise, die man bekommt, wenn ein Pflegebruder einzieht, für den die Bezeichnung ""schwer erziehbar"" noch harmlos ist.) Aber die gefährlichste Krise von...",https://books.google.com/books/content?id=Pkt4DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Pkt4DwAAQBAJ,found,false
Finnas Pferde,Claudia Gürtler,9783702658809,ISBN_13,Finnas Pferde,Claudia Gürtler,,,,dCtyuwEACAAJ,found,false
Trubel auf Burg Drachenstein,Margit Auer,9783473368709,ISBN_13,Trubel auf Burg Drachenstein,Margit Auer,,,https://books.google.com/books/content?id=1psVngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1psVngEACAAJ,found,false
Bretonisches Gold,Jean-Luc Bannalec,9783462046229,ISBN_13,Bretonisches Gold,Jean-Luc Bannalec,Brittany (France),,https://books.google.com/books/content?id=nfvknQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,nfvknQEACAAJ,found,false
Die Olchis - auf dem Schulfest,Erhard Dietl,9783789112898,ISBN_13,Die Olchis auf dem Schulfest,,,,,8p-8vAEACAAJ,found,false
