title,author
Die drei ??? - Band 196 - Geheimnisvolle Botschaften,Christoph Dittert
Lola Schwesterherz,Isabel Abedi
No Jungs ! Wer wird Schönheitskönigin',Thomas Brezina
Wolfenblut,Di Toft
Die drei ??? - Band 161 - Die blutenden Bilder,Kari Erlhoff
MOMO,Michael Ende
ERAGON - Band 004 - Das Erbe der Macht,Christopher Paolini
Anton und das geheimnis im Finsterwald,Patricia Schröder
Hexe Lilli - Band 013 - und der verrückte Ritter,Knister
Die drei ??? Kids - Band 050 - Schatz der Piraten,Boris Pfeiffer
Ronja Räubertochter,Astrid Lindgren
Der kleine Ritter Trenk,Kirsten Boie
Die Flaschengeistprüfung,von Vogel Maja
Schändung - Band 2,Jussi Adler-Olsen
Erbarmen - Band 1,Jussi Adler-Olsen
Erlösung - Band 3,Jussi Adler-Olsen
Aschenputtel,Kristina Ohlsson
"Seekers, Die Suche beginnt",Erin Hunter
Die Tribute von Panem - Band 02 - gefährliche Liebe,Suzanne Collins
Wir Kinder vom Bahnhof Zoo,F Christiane
Mein Lotta Leben - Band 01 - Alles voller Kaninchen,Alice Pantermüller
Dork Diaries - Band 03 - Nikkis phänomenaler Auftritt,Rachel Russell
Das mit mir und Romeo,Dagmar Chidolue
Die wilden Küken - Band 005 - Auf Schatzsuche,Thomas Schmid
Die drei ??? - und der verschollene Pilot - Band 163,Ben Nevis
Die drei !!! - Falsches Spiel im Internat - Band 030,von Vogel Maja
Die drei !!! - Band 034 - Brandgefährlich,von Vogel Maja
Das magische Baumhaus - Band 028 - Das verzauberte,Mary Pope Osborne
Störenfrieda - Lauter Krachgeschichten,Jana Frey
Die schönsten Märchen von H.C.Andersen,Andersen Hans Christian
3 Rittergeschichten,Patricia Schröder
Die Drei ??? Kids - Band 052 - Mächtige Magier,Boris Pfeiffer
Piratten - Band 02 - Gefangen auf Rattuga,Peinkofer Michael
Das magische Baumhaus - Band 051 - Lawinenhunde,Mary Pope Osborne
"No Jungs! Handy, Handy in der Hand...",Thomas Brezina
Sherlock Holmes Academy,Holly Watson
Night School - Band 001 - Du darfst keinem trauen,C.J Daugherty
Wie viele Level hat dein Leben?,Werner Färber
Verletzt,Stella Negri
Die wilden Küken - Band 006 - Ab ins Abenteuer,Thomas Schmid
Die drei !!! - Band 038 - Stylist in Gefahr,Mira Sol
Die drei ??? - Band 167- und das blaue Biest,Hendrik Buchna
"Rick 1, Wie man seine durchgeknallte Familie überlebt",Antje Szillat
Papa auf der Spur,Katrin Stehle
Piratten - Band 01 - Unter schwarzer Flagge,Michael Peinkofer
"codewort 007 , Alarm im Advent",Antonia Michaelis
Die drei !!! - Band 016 - Total verknallt,Maya Vogel
Die drei !!! - Band 037 - Mission Pferdeshow,Henriette Wich
Tausendschön,Kristina Ohlsson
Verachtung - Band 4,Jussi Adler-Olsen
"Die Wanderhure, Bd 1",Iny Lorentz
Die Kastellanin,Iny Lorentz
"Das Vermächtnis der Wanderhure, Bd 3",Iny Lorentz
Die Tochter der Wanderhure,Iny Lorentz
"Smaragdgrün, Liebe geht durch den Magen, Band 3",Kerstin Gier
"Saphirblau, Liebe geht durch alle Zeiten, Band 2",Kerstin Gier
"Rubinrot, Liebe geht durch alle Zeiten, Band 1",Kerstin Gier
Töchter der Sünde,Iny Lorentz
Dolphin Rider,Markus Bennemann
Das Alphabet Haus,Jussi Adler-Olsen
Eine zweite Chance,Karin Alvtegen
Tafiti - Band 001 - und die Reise ans Ende der Welt,Julia Boehme
Leo & Lolli - Band 002 - Ein Esel zum Verlieben,Julia Boehme
Nele - Band 005 - geht auf Klassenfahrt,Usch Luhn
Kleiner Hund in grosser Gefahr,Bengt Birck
"Mein Freund, der Orca",Annette Moser
Nele - Band 006 - und der indische Prinz,Usch Luhn
Das magische Baumhaus - Band 045 - Die Feder der,Mary Pope Osborne
Störenfrieda und der Rückwärtsflohmarkt,Jana Frey
Störenfrieda auf Hängebauchschweinsafari,Jana Frey
Störenfrieda und der Glitzerclub,Jana Frey
Das magische Baumhaus - Band 012 - Auf den Spuren,Mary Pope Osborne
Zombie-Alarm,Ben Nevis
Der schwarze Joker,Boris Pfeiffer
Der kleine Drache Kokosnuss - Band 019 - reist in die,Ingo Siegner
Michel und Klein-Ida aus Lönneberga,Astrid Lindgren
Das magische Baumhaus - Sammelband - Im Reich der,Mary Pope Osborne
Night School - Band 002 - der den Zweifel sät,C.J Daugherty
